,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
106824,73264,11160,5994,28849,10747,8335,7436,51263,31861,27900,9648,24842,23839,33242,9565,25670,19526,11522,17451,7719,12056,10534,24616,10397,41791,31387,8684,28530,61381,32522,30070,29467,1192,4926,4517,63221,12442,6612,22173,9109,9816,7403,59564,34918,20399,9262,20422,23444,32508,13484,16610,23849,15504,11213,5816,9858,9885,17757,9429,36935,36373,6356,30074,57930,31763,21728,21170,1789,4274,3251
107018,71601,11506,5630,28101,10368,8438,6870,49743,29334,28055,9703,24086,23572,31343,9044,25131,18303,12577,17384,7189,11940,10760,25378,10890,41087,29693,8199,29329,59428,31995,30030,29343,1089,3677,4267,62547,12338,6467,21415,12104,9028,7251,56430,33179,18672,10161,23619,22950,30955,13853,17735,22789,15434,11723,6275,10995,10061,17296,9866,36467,35759,6272,30667,54624,30882,21398,20997,1137,3643,3054
107321,72076,11323,5429,28168,11049,8110,6552,49195,31057,29072,8824,21465,21336,30018,8884,26108,17989,12278,16787,6035,11504,10047,25435,10497,40877,31426,7947,28987,60615,32808,29220,29906,1426,4265,4050,64040,12258,6232,20666,12894,9759,7269,57478,32707,20640,9779,18535,20306,31896,12329,20232,21936,14857,9888,5382,9252,10340,17281,9488,36859,36416,6297,29750,54630,33167,20931,21314,2131,2844,2697
107422,71614,11450,5832,27500,10935,7867,6431,49142,30398,26974,9083,20773,22429,31335,8809,25606,17475,9906,16441,6197,10938,10219,25298,10773,39383,29468,8438,28922,57910,33451,30754,30932,1269,4930,4635,62971,12167,6309,19879,12427,9172,6586,58628,34233,18331,9924,17013,20138,32082,12480,17988,22034,14285,9947,3918,8092,10543,16275,9924,32743,35588,6318,29869,57032,33770,23135,22811,1525,4149,2919
107725,73864,11367,5494,29346,10228,7941,8750,51825,31218,30067,9165,23817,21685,31804,9362,26420,19142,13213,16941,6360,11651,10859,26566,10610,41519,30859,7848,29148,62259,32800,29275,30142,843,6195,3827,63889,12209,6363,22699,10737,9636,9124,60665,35507,20891,9704,21866,21490,31781,13238,17248,24181,16111,10610,6872,9639,10435,18566,9701,36903,36498,6114,31128,59326,32275,20686,22505,1870,3809,2955
108020,69836,11325,5935,27754,9889,8214,6266,50826,30720,30142,9905,21912,19347,33772,7807,26434,17845,13081,17419,7014,12009,10169,27504,10814,42710,31901,8400,29411,64986,33379,30102,30224,950,5083,4207,63466,12454,6570,21562,12022,9506,7027,58264,35644,19260,9442,18093,19260,32978,12306,20001,23430,16159,11632,7177,11679,9759,18251,9975,36661,36709,6337,31226,53882,32468,22860,21711,1733,4027,3060
108121,75186,11269,5777,28391,11322,8040,8498,50856,30954,30498,9563,24379,21981,32598,9196,25720,18412,12653,17174,6747,12016,10663,26757,11434,41237,31944,8577,28724,61492,33114,31109,30428,1749,6959,4528,65381,12409,6590,21263,13779,10207,9606,59983,34877,22294,10152,20358,20407,32220,13063,18238,23825,14761,10922,4678,9970,10567,18776,10088,38851,36566,6648,29806,56751,32589,21719,22943,2835,6201,3219
108222,68426,10901,5543,27396,8770,7831,6380,52090,29771,31217,9608,28105,21540,33636,8625,26772,17965,10556,17086,6796,11538,10124,23059,10022,39506,29841,7802,27943,57867,29765,29468,28435,1345,5088,4338,61315,12290,6299,20371,9458,9374,6557,58537,32956,21741,8949,23812,20096,32044,12077,19107,22438,14492,10570,6054,9815,9804,16662,9462,36025,34389,6258,27055,54228,28280,20567,19972,1875,4244,2673
108323,74302,11358,6034,28917,11524,8410,8215,52488,31124,29500,9623,28778,23950,32884,10471,25598,19162,11561,16823,5844,11672,10948,26045,10849,41884,29824,8354,28874,57397,28496,30781,29842,1184,6297,4432,63704,12359,6395,20940,13599,9952,8599,58819,34699,20527,10526,23782,21441,33008,13821,18465,23324,15535,10346,4752,9836,10272,17602,9990,37123,34861,6414,29399,54893,28463,21969,21771,1830,5318,3147
108525,70406,11137,5633,28499,9993,7374,7298,51741,31012,30985,9147,24173,21450,33612,9703,26432,18451,11141,16740,5612,11398,10587,24577,10364,40046,28501,7795,28153,60242,28028,29544,29343,1808,3976,3717,62208,12343,6250,20759,12637,8533,7991,59958,35220,21437,9652,22171,21844,32671,12991,18515,22726,15069,10339,5494,8685,10251,18629,9818,36781,34807,6145,29340,55649,29496,19070,21319,2578,3224,2636
108828,67565,11234,5145,27874,8464,8575,8249,50819,29313,29918,9827,26249,19825,33151,7548,25903,16937,12803,16910,6878,11764,10952,26048,10110,40958,32531,7990,27947,58798,32719,28799,29145,1050,5430,4048,62365,12382,6267,19033,10604,10197,8188,58976,34828,21712,9242,20541,19492,32097,11056,19201,22663,15609,10663,5198,10238,10341,18086,9807,35272,37450,6356,28483,49260,33403,20617,22155,1351,4115,2883
109123,69480,10948,4953,26226,9433,8297,7211,50377,29302,29487,9034,22739,21276,31873,7488,25185,18061,11214,16743,6360,11350,10813,25580,9883,38116,29601,7419,28058,53873,29023,28767,29496,591,3967,4039,61840,12015,6298,20954,8979,9480,6624,57623,34260,20493,9349,19554,19936,31926,11490,18398,23360,15366,10266,5577,9146,9910,16418,9452,33857,33844,6277,29884,53275,30118,19479,21333,1354,2732,2666
109830,73498,11433,5728,27759,11821,7651,7949,50761,29082,30122,9435,24045,18439,30696,7074,26105,18690,11591,17114,5487,11946,10355,27060,11165,40596,30397,8289,28672,57857,31947,30672,29833,1368,5775,4626,66069,12467,6400,18833,13946,10244,7747,58610,31527,21804,10375,19373,19476,32636,11458,19763,23278,14532,10709,4833,9777,10554,17746,9675,35077,36164,6514,29341,53166,32982,22684,21019,1733,4248,3026
110007,73911,11390,6124,29252,10273,8134,8170,52210,30439,29252,9931,23315,22026,33393,8070,26502,19193,13452,17572,5904,11930,10697,27701,11339,43487,32378,8635,29859,65565,35083,30679,30371,1513,4963,4574,64893,12387,6626,22210,12327,10032,8003,58468,35848,18665,9939,19530,21593,32993,12466,18467,24150,15903,11647,5487,10346,10516,17876,10096,37070,37469,6363,30712,58660,35877,22609,22040,1913,3796,3213
110411,70192,11113,5155,27680,9987,8307,8235,51467,28913,29221,9043,28093,22757,32739,8717,26183,18402,11313,15948,6820,11731,10839,22818,10659,39524,29158,8000,28422,56222,30793,30022,27769,1301,5519,4387,61730,12353,6147,21640,12399,9346,8461,59820,32282,19382,9966,20676,21427,31897,12066,19418,22823,14822,10511,5789,9915,10483,16894,9624,36527,35360,6345,28723,52874,30023,23379,20058,1366,4207,3012
110613,70913,11378,5678,26551,11071,7609,6712,49835,29893,30371,8924,20475,21503,32300,10228,26324,18190,10086,16954,5376,11373,10751,24334,10522,39795,28303,8250,28100,57417,29456,29762,29446,1370,5778,4269,64885,12356,6136,20284,13538,8885,7725,56921,35062,20301,9942,21977,21445,32481,13857,18460,22808,13445,10059,4829,9398,10431,16126,9324,35204,36335,6314,29231,52660,29724,19185,20382,1506,5274,2907
111009,67654,11097,5407,26989,7045,8244,7522,52066,29867,30656,9304,25007,20570,33141,7575,25123,18495,12563,17386,6801,11702,10507,26886,9846,42350,30318,8148,28376,60553,31579,29197,30058,1173,4720,4257,61664,12470,6578,20962,7438,9857,7167,59047,33728,20388,9021,21286,21285,32860,10724,16880,23912,15964,11507,6573,11149,9726,17780,9358,37484,35226,6251,30608,53479,33018,21898,21234,1543,3545,2993
111211,70683,11024,5882,27232,9126,7450,7219,50589,29163,29302,9252,25175,23448,33095,9264,26951,18352,11796,16525,7247,11213,9933,22648,10042,41082,29673,8586,28566,62175,28952,30341,28081,1710,4286,4304,62839,12361,6542,21410,10533,9037,7414,61300,34350,22900,10113,20386,23496,32698,13085,19367,23217,14884,10751,6195,9530,10083,16510,9827,37658,37028,6327,29037,59130,32290,21873,19763,2121,2924,3033
111312,68767,10710,5021,27492,7563,7884,8379,52298,29572,31193,9745,26356,22485,33661,7858,26759,17836,9479,15930,6862,11502,10638,22696,9802,38827,28370,7821,27589,57249,28063,29298,28698,1506,6046,3977,60475,12242,6421,20688,9368,8842,8934,60097,33949,22247,10147,23232,22105,32788,12348,18250,22634,13914,9780,5129,8616,9875,16153,9229,34846,34648,6151,26060,53605,26469,20962,19749,2371,4656,2816
111413,72257,11260,5711,26946,11093,7932,7113,48966,29065,26084,8825,22871,23815,30786,9907,24627,17485,10265,16822,6263,12206,10192,23822,10086,38998,29148,8351,29216,56472,30758,29078,28235,1077,4091,4220,62420,12413,6232,21419,12037,9985,7384,56469,36053,17614,9807,18403,20429,31061,13061,14545,22608,14507,11343,4504,11737,10397,15635,9017,35889,35628,6400,33908,54949,30420,20175,21329,2369,3722,2957
111514,69263,10847,5134,26516,9983,7560,6254,48995,28768,28864,8855,24334,20942,33264,7007,26274,17769,9714,15662,6440,11496,10571,23054,10097,36472,28444,7646,28498,52211,28969,28227,28034,1303,4609,4233,61218,12274,6237,19722,10499,8795,6983,56904,31598,21449,9585,15930,21982,31500,11387,18895,21621,14293,9527,5992,9141,9877,14733,9450,32097,32745,6256,28455,52331,28887,20220,19585,2004,4214,2704
111716,69832,10671,5033,24911,9665,8064,7503,51328,29314,28828,8391,26348,21636,30738,8307,23362,18057,8867,16180,6345,11283,9962,21438,10238,37473,27888,7527,27393,53937,26759,28094,27262,1292,4230,3544,61990,12117,6127,20946,11711,8832,7878,56877,32491,19332,9445,22082,20083,31068,12578,16874,21422,13124,10578,5304,9437,9744,15412,9310,32731,32374,6290,27656,51122,26509,17771,21179,1993,3196,2091
112112,68401,11250,5395,28633,8009,8293,4643,48898,28229,27443,9453,23142,18526,32852,7043,25787,17281,12471,16968,6657,11600,10336,25893,10097,41819,30051,7929,27638,58863,31753,28510,27153,1287,2599,4282,60879,12353,6451,21428,7041,8488,5096,58308,31319,19724,8905,15357,18218,32073,10261,18273,23056,15953,12041,6172,10986,9484,17555,9368,37409,34959,5802,28298,52827,30898,19376,20713,2081,1398,2754
112314,71950,11485,5519,28485,11219,8343,5660,51284,28653,26787,9698,25812,22574,33583,8584,26369,17434,12233,16716,7298,11839,10823,26691,10704,41763,31806,8253,28912,59420,32830,31279,29383,960,4736,4542,63220,12471,6493,21820,12590,10035,6278,58155,32177,17975,10042,24783,22726,32632,12307,19529,21560,16196,10472,7509,10736,10527,17499,10019,36866,37647,6438,30323,54081,33902,23210,20007,1601,3981,3169
112516,71716,11166,5432,26334,10891,7951,7249,50091,29376,25427,9020,25076,22013,32491,7546,25809,17783,11636,16082,6194,11469,10421,23964,10947,39650,29324,7597,29060,54599,30819,30380,28781,1269,4688,4397,63217,12349,6103,21179,13833,10107,7823,59416,32930,17656,10928,21717,20455,32138,11065,19987,22216,15166,10097,4648,9394,10143,16889,9733,35515,34734,6318,30175,54015,32094,22756,19971,1577,4206,3096
112819,72410,11448,5618,27415,11104,7608,7187,50554,29717,23539,9491,27628,22727,31674,8684,25567,19128,10766,16694,6607,11912,10312,24704,10830,40465,29042,7997,27828,55110,30171,29587,28423,888,3448,4483,62790,12293,6517,20525,11778,9576,6319,56720,32388,16811,9981,22894,21749,32605,12455,19907,23469,15060,10156,5754,9817,10270,17877,9976,37718,35800,6207,28425,55496,30493,21851,20423,1854,2469,3112
112920,68680,11216,5114,27910,8317,8165,5516,50999,30037,29581,9872,25904,21847,34574,7709,25983,17524,12687,16740,7072,11654,10804,25451,9892,41415,31726,7390,28425,55066,33652,29550,29410,769,5348,3974,60811,12344,6085,21819,8985,9532,6618,58199,34917,19580,9294,20678,22146,32033,11831,15756,21843,15684,10298,6512,10140,10114,16572,9359,35198,36346,6238,30137,51330,33861,19790,20959,2047,4804,2695
113215,72228,11209,5419,28208,11276,8225,7321,50855,30879,27775,9057,27250,23455,31296,8721,24909,18239,11115,16908,7134,11735,10635,23926,10463,39693,30793,8037,28483,56884,31396,29222,29408,875,5430,3968,63631,12258,6579,22250,13583,9402,7724,57576,34139,17549,10059,21763,23583,31965,12911,17721,22716,15409,10862,5614,10089,10093,16655,9414,35495,36568,6417,28458,54815,31503,22006,21910,1947,4529,2882
113316,70792,11305,5785,27342,11082,7787,6763,51935,29739,29703,9500,22092,23235,32179,9362,24256,17346,11459,16171,7353,11915,10582,23194,10715,38685,28373,7982,27828,57868,27774,26936,27961,1615,4337,3719,63084,11832,6281,21414,12888,8439,6515,58357,33680,20430,9883,19164,21320,31412,13239,16720,22087,15055,10550,4481,9713,10046,15119,9558,34900,35457,6133,28701,52069,29371,19025,20395,1555,2871,2775
113619,70676,11220,5454,26090,10637,8003,7666,50169,32532,30912,8396,25634,21319,31546,7917,26963,18304,10549,15644,6324,11346,10576,23873,10387,39645,28019,8116,28625,56959,30649,29517,30040,1540,6515,4345,62403,12192,6056,19551,11865,9284,8406,59562,34010,22548,9645,18723,19930,31050,10795,17755,22857,14154,9456,4366,8821,10454,17168,9750,32628,34848,6081,28018,51169,28135,20039,21279,1661,4768,2353
113821,69912,11352,5040,24077,8983,7561,6707,49277,27729,26839,8056,26795,21983,31539,8944,24334,17571,9666,15479,5371,11333,10406,21873,9629,37224,28113,7555,26648,47367,30020,28150,27657,828,4768,4262,62199,12340,5321,21592,10196,9401,7065,57387,27627,20223,9776,21822,20935,30935,11785,17221,22595,14467,10458,5069,11199,10062,16752,9503,34579,34088,6011,26791,48306,30626,21690,19573,970,4254,2936
