,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
100206,67219,11083,4964,27838,9613,7462,6955,49425,28385,27788,9393,24170,21259,34041,8174,23469,17543,9498,16382,5599,11259,10414,24520,9579,39455,28082,7565,27378,55028,30893,26799,27438,1087,5147,3737,61713,12298,6202,21331,13077,9570,6611,55775,32595,18681,10033,22226,20232,32104,12066,18134,21641,13860,10625,4976,9115,10227,16261,9408,34012,34304,6251,29112,50942,29979,20965,21715,1571,3587,2666
100307,72373,11392,5720,26996,11036,7703,7721,53044,29473,30704,9476,27815,21118,33443,8377,25149,19100,11137,17333,6073,12020,10777,24717,10571,41151,28662,8437,28535,60106,30681,30309,27950,1592,5689,4420,64082,12361,6472,20835,12842,8550,7899,61024,32381,21932,10118,21938,18561,33348,12200,19515,24385,15891,11235,3754,9758,10366,17497,9787,35279,35262,6523,28461,54701,28155,21413,20530,1168,4930,3088
100408,66845,10803,4879,26685,9624,7209,4607,48276,30219,27392,8976,22634,20220,32874,8451,25944,16996,10952,14957,6535,11049,10003,22634,9444,38198,26542,7842,28375,53198,29563,28328,29449,1521,4029,4159,59442,12136,6357,20396,12666,8522,4939,55685,32022,18548,9905,19288,19362,32417,10573,18422,21270,14577,9193,5991,8644,10253,15942,9598,34092,33705,6262,28197,49735,25918,19902,20434,2319,3698,2926
100610,69397,11221,5552,25568,10742,8083,8437,51892,29857,30606,8606,25114,23006,32262,9737,25442,17245,11986,16118,6785,11735,10310,25135,10674,38469,29784,8128,28238,58792,31627,28743,29286,1575,5272,4051,62880,12411,6408,19469,12481,9297,8276,58943,34489,21660,10008,19697,21258,31846,12564,18292,22521,15665,10212,4962,9117,10005,15935,9861,34337,35735,6256,28347,55456,30002,21271,21140,1744,5050,2892
101006,71934,11288,5559,25911,10119,8336,8106,51172,28254,29522,8637,24637,19942,31674,8290,24409,17647,11005,16494,6504,11395,10704,24997,10448,40592,30747,7588,28263,51477,31684,29090,29597,1550,5386,4054,62493,12171,5953,19818,11610,9916,8512,58182,33074,19652,9973,17680,19220,31735,12009,16594,22051,15830,10758,5676,9854,10239,16901,9535,34733,35249,6070,30018,50539,29764,20140,22597,1822,4826,2706
101107,72688,11338,5390,27740,9675,8103,7423,50797,29138,28535,9492,27958,21871,34114,9372,25493,18207,12315,16858,6799,11851,10444,25668,10343,40186,29565,8190,28109,55562,30633,29607,28542,1304,5621,4204,62741,12152,6292,21701,11875,9622,6878,60133,33438,20214,10075,22678,20181,33297,12227,18211,22583,15564,10392,6150,10709,10301,17969,9734,36426,35723,6461,31746,52882,31983,21896,21433,1880,4151,2685
101309,74603,11606,5918,30185,11650,8400,7046,51241,32671,29912,10116,25702,22743,34161,8164,26324,19320,13837,15577,7414,11562,10944,27569,11359,42386,32704,8349,29589,64959,30915,29344,30369,1239,4910,4252,65012,12198,6423,21642,13034,10000,7188,60492,37589,22359,10631,19916,22638,33327,12280,18063,23229,16375,10066,7248,9111,10444,18153,10092,36805,37887,6387,31156,57065,34419,19842,23301,2318,5085,3109
101410,71279,11083,5277,27343,9345,8302,7312,50909,29299,28751,9138,27009,21585,32342,9365,26809,18343,12023,16724,5215,11762,10805,25201,9819,40978,30241,7887,28526,60947,31952,30086,29858,1323,6309,4313,61021,12279,6270,21089,11357,9816,7459,58740,34469,19550,10119,24113,21406,32371,13021,19872,23044,15124,11212,5617,10198,10208,17409,9746,37776,36494,6288,30366,55617,32064,24129,21174,1932,5771,2919
101915,72809,11104,5651,27271,11213,8029,8625,51902,30135,28130,9281,27779,21238,32494,8797,26072,18328,11003,17243,6852,12050,10800,24001,10930,40930,29514,8175,28413,54550,29847,29810,28849,513,5191,4457,63404,12410,6457,21736,13150,9758,8584,60264,33532,18377,10010,25754,21774,32570,12719,18413,23719,14614,11028,6691,11017,10109,16270,9986,37179,35643,6465,29796,52697,29497,21473,20716,836,3637,3142
102008,70161,11303,5330,28840,9109,8053,7233,51749,30245,28861,9651,26601,22441,29442,8985,25788,18754,10575,16591,6524,11808,10407,24958,9975,40304,29983,7856,27857,55639,29303,29524,29566,1078,5359,4421,62612,12037,6165,22691,11884,8796,6987,59413,34175,20558,9953,22975,23357,31119,13211,18652,23120,15195,10428,5923,9827,10198,15993,9940,35599,35216,6203,28926,53447,27773,21195,20773,1558,3931,3025
102109,71730,11318,5325,28824,11494,7970,7241,50302,30669,26501,9541,22760,22263,33681,9379,20637,18754,12531,16883,7050,11864,10767,26205,10313,41522,31246,8022,28661,58438,33160,28381,29603,1101,2669,3858,63779,12193,6264,21782,13452,8817,7121,56614,33642,15741,9986,18664,21733,32395,13072,13212,22992,15694,11187,5778,10308,10301,17202,9534,36496,36434,6367,30329,52214,32794,16513,21585,1597,2902,2949
102311,72073,11189,5706,27997,11199,8365,6945,52303,30127,30888,9829,23239,22294,33771,7697,26721,18997,12274,16353,6614,10926,10904,24343,10921,38090,31629,7995,28449,59251,32338,30395,29745,1498,6368,4228,63285,12365,6446,21181,12344,9846,8087,59168,34425,22021,10202,21884,21259,33325,12169,19675,23506,15377,9764,4925,9275,10448,15253,9933,33147,35855,6281,31094,57666,31928,21793,21920,2544,4717,3043
102513,71209,11434,5590,26892,11163,7461,6905,50743,30424,29773,9292,20824,23151,32670,9393,24071,18221,11202,16734,7093,11697,10855,22980,10479,38176,28544,8306,27864,57201,31292,28891,29114,1201,5339,4306,63094,12324,6218,21071,13838,8891,7648,60100,34170,20901,10414,21241,21745,32076,13650,14925,22558,13550,10394,4972,9360,10229,15653,9682,33085,34510,6477,30216,52872,29974,17977,21407,1746,5305,3045
102614,69837,11461,5565,27525,10853,7481,4826,51782,30081,30259,8679,21140,21617,31788,7547,25977,17870,10660,15931,6776,11624,10307,25115,9985,40046,30936,7999,28229,56063,30740,29934,28054,1256,4536,4248,62713,12324,6216,21794,12357,9206,6216,58620,34297,21514,9859,17278,20086,32130,11160,19542,21622,15203,9304,6515,9761,10014,16543,9743,34371,36040,6493,28784,52040,30105,21119,20434,2191,2904,2739
102715,69571,11501,5439,27508,8812,6682,7088,52468,29959,28668,9093,20500,22254,32433,8131,24890,17853,10278,16681,7255,11826,10513,24395,9906,40448,28837,8111,26401,52633,30557,30124,28209,1176,5949,4203,61702,12225,6242,20076,9293,8961,7824,59285,33192,18839,9348,19713,20365,31120,11436,16144,22671,14650,11005,5867,9606,10402,16249,9387,34741,35420,6180,27489,48904,29598,20439,20346,1514,4553,3144
102816,72571,11304,5607,28213,9805,7885,7693,51772,30612,29790,9208,20850,23288,31725,10303,24273,18529,11718,16409,6209,11480,10728,25310,10693,40722,31391,7747,28799,56217,32615,29237,30264,1596,3050,4457,64317,12444,6450,20946,12013,9600,7132,57538,33412,20335,10070,19381,21291,31455,13322,19601,23044,15530,9854,4861,9564,10492,16620,9995,33792,36360,6197,32862,55574,31992,22133,22301,2219,2460,2931
103010,69374,11346,4849,27637,10314,7872,6729,51830,30671,30077,9007,23065,22224,31289,7923,25388,17429,10051,16247,6728,11774,10690,24258,10559,39007,27687,7570,27863,54929,27503,28282,28474,1367,5185,3884,62386,12028,6001,21132,11512,8495,7358,58833,33286,21685,9627,18435,21624,31702,12272,17298,22423,14296,10550,5578,9594,10223,15771,9787,34803,34069,6190,28846,52902,24617,19778,20142,1922,4417,2962
103111,68716,10925,4787,26591,8039,8043,8367,51523,29626,27390,9223,27814,21239,32951,8903,24104,18596,11134,16590,7057,11741,10229,22335,9781,38434,30124,7617,26604,52137,28575,27612,28141,835,4041,4149,60481,12463,6136,21954,6801,9747,7822,59874,31661,19819,8318,23674,21456,30627,12243,15771,23604,15301,10904,6112,10861,8251,17276,9042,36241,33431,5847,28781,50267,26973,18565,20903,948,3899,2739
103212,70695,11398,4638,26501,7857,8120,6227,50398,29982,29580,9059,19831,21923,31467,9794,25501,17380,10967,17061,5999,11762,10679,23487,9783,39040,29053,7842,27665,49404,30283,28293,30409,1182,4062,4117,63309,12317,6253,20842,10246,9231,6924,58073,35910,20517,9982,19716,21476,31753,13514,16146,22692,14938,11307,5169,11150,10203,16790,9518,34200,35259,6223,28341,49592,31643,16967,20728,1597,3294,2816
103414,73263,11533,5854,28255,10325,7819,8124,51189,31688,26046,8406,27952,21705,31659,9665,26079,19228,10697,16685,6313,11927,10285,25109,10829,41217,29878,7987,28287,58901,29860,30704,30384,1039,5158,4625,63064,12521,6458,20914,11591,9398,8388,57590,32906,17183,10001,22565,21117,32033,12508,20264,23965,14529,10396,5775,9748,10206,17181,9837,36719,36026,6479,27606,55730,29691,22517,21169,1061,5128,3103
103515,69407,11266,5410,28594,6726,7332,8357,53097,30384,31197,9163,23821,21632,31155,9923,24541,19179,11870,17074,6804,11745,10382,25203,9750,42175,31207,8114,28450,62959,29412,28509,29822,2087,3971,3863,61636,12240,6576,20792,8524,9567,8286,59860,33724,21039,9444,21657,20999,32077,13555,17440,24026,15124,10751,6418,9774,10245,17435,9507,36631,36130,6241,29553,58132,29959,18704,21503,2695,3786,2689
103818,73980,11367,5626,27809,10768,8062,7936,52768,30184,28700,9649,28655,22876,32692,9259,25940,18656,11295,17091,7277,12132,10697,26935,10646,41777,30900,8271,29364,56153,30766,30196,29423,1250,5472,4330,65109,12446,6575,21361,11694,9346,7827,60028,35133,19632,10186,22304,21011,32418,12691,18104,22516,15185,10363,5620,10402,10135,17901,10005,35981,36022,6291,31067,52636,30843,20293,21962,1977,4498,2845
104012,72109,11192,5833,26782,10704,8421,5215,48883,27674,28579,9599,25616,20801,33757,7731,26779,17669,12618,17338,7211,11948,10395,26252,10786,40685,30479,8298,27944,62092,33322,31422,29988,1474,5757,4405,64285,12385,6367,20835,12882,10121,7290,58592,32108,19542,9818,21033,20244,32688,11941,18843,22448,15625,11895,6105,11008,10115,17371,9583,36814,36171,6326,27799,55054,32912,23031,20827,2237,5216,3030
104416,72575,11327,5652,26853,9988,7767,6624,51187,31790,27340,9309,27617,23563,32202,9050,27425,18241,11746,16352,6791,10632,10802,22941,10582,40524,29999,8157,27303,56462,30308,31439,29936,1188,5920,4592,63083,12422,6493,21368,10478,9585,7065,57752,35357,18771,9952,20149,22361,32104,12405,19754,22771,15275,10164,4105,7985,10354,17820,9728,36778,34231,6287,26822,52998,29844,23128,21856,1305,4928,3052
104820,71456,11320,5414,26104,9744,8061,8357,51048,30674,28923,8860,23234,20475,32606,8403,24043,17823,12301,16823,6724,11507,10916,24099,10622,39858,31050,7856,28239,57790,31127,28001,30305,1462,5896,3716,61956,11993,6466,19629,11055,10035,8240,58681,30656,20510,9827,17000,19174,32351,12355,16754,22560,15494,10750,5301,9844,10022,17589,9865,36410,35710,6199,28333,53746,30776,21224,23076,1850,4152,2461
105014,71178,11289,5431,28376,9925,7948,7508,49869,30820,27573,9439,27033,22807,32262,9132,26294,18296,12063,16737,7367,11873,10828,25657,10422,41481,31168,8259,28462,59948,29401,29767,28613,1033,3521,4156,61922,12533,6539,21528,10333,9889,8179,57859,34670,19119,10017,23935,23007,32611,13313,18457,23460,15958,10471,6780,10532,10451,17118,9606,36780,36452,6286,28218,55470,28535,21168,21428,1955,2820,3129
105115,65010,10664,4420,27116,4742,8179,7121,52457,31644,31366,9773,24940,21121,33504,8154,27237,17567,13013,16019,6292,10237,10755,23645,9540,39572,31868,7530,27228,61185,30831,27964,28132,1673,4112,4056,56563,12295,5988,21666,3451,9954,6830,60807,35906,22983,8083,22544,20287,32634,11996,20367,22733,15649,10524,4148,8571,9479,16959,7905,36140,34243,5752,27009,52898,33618,19883,20321,2293,3141,2685
105216,65823,11157,5032,25973,8672,7603,6723,50562,28473,28246,8430,23962,22383,33745,8405,24304,17784,11991,16557,7302,11744,10305,22852,9844,37896,29142,7540,28045,57978,30053,28571,27555,1332,5400,3981,59708,11871,6102,19793,11320,8508,7492,57537,31499,17649,9054,19627,21441,32528,12177,15418,22297,15398,10256,6415,9745,9742,15547,9464,33834,34843,5879,29694,53543,27248,19289,20521,1768,4237,2789
105620,69419,10831,5027,25828,8799,7892,7941,49555,28999,27977,9270,26091,21872,33080,8882,25625,18376,11293,16317,6523,11610,10662,21760,10161,38984,29304,8131,27888,57449,27590,29309,27121,1487,5788,4346,62210,12337,6302,20256,11450,8214,8383,54858,34153,18628,9766,21544,21016,32496,13103,18270,22542,14774,10147,4901,9405,10101,18129,9302,35184,35375,6139,27998,53481,27126,20895,20524,1826,3887,3066
105923,70192,11022,5084,27550,10450,8015,7966,51047,29979,29546,9209,25531,23975,32572,9744,25079,18578,10661,16654,7438,11757,10303,23116,10044,38625,27920,7961,29190,57869,28451,28118,28257,1605,5032,4211,62698,12087,6192,21724,11937,8235,7435,59034,33046,20478,9704,20883,20378,31380,12782,17392,22917,14681,10470,5128,9879,9756,15581,9253,33092,34500,6048,29411,55737,27148,17442,20690,1583,2993,2650
106016,71824,11358,5649,28750,11389,7691,7085,49730,30259,22700,8822,28230,21438,33000,7186,23297,18393,10926,17425,7140,11948,10275,24956,10340,41141,27839,7842,29055,55218,30142,30387,29092,340,5654,4139,63277,12274,6397,20927,12870,8810,7774,54106,32633,14059,10062,22009,22391,32040,11130,18435,22438,15153,11023,7784,11143,9979,17708,9659,36676,34580,6340,31363,52505,28505,22077,22262,1095,4367,2760
106319,68607,11238,5611,27409,10312,7811,6142,51638,30195,27052,8905,26481,21840,32701,7485,24549,17608,9996,16626,6561,11773,10429,23310,10884,39198,29165,7716,27089,55379,28895,29257,29424,1229,4477,4311,61495,12405,6276,20306,11585,9352,7141,59306,34374,18476,9685,20046,21289,31812,11488,17880,22716,14798,10593,5786,9845,10039,15736,9666,34676,34552,6476,28405,52060,28190,21400,20820,1513,3845,3009
106521,71848,11255,5265,27541,11130,7778,6567,50487,30844,28775,9322,22890,22430,33580,8356,26430,18456,12522,16484,7177,11134,10721,24672,10379,40153,30534,8220,26733,57254,31368,30153,29167,1880,5713,4231,63872,12427,6489,21076,13046,8792,7065,60484,36210,20624,10291,20679,21306,33096,12312,18261,22582,15616,10248,6654,8987,10331,17121,9779,36479,35632,6441,29722,56012,31048,21572,22154,2843,5096,3102
