,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
100206,244540,375553,2985,9262,3521,6397,2133,24997,4926,2141,756,244647,369203,2613,8723,2672,6397,2118,4961,2185,665
100307,244612,391619,3896,9908,3821,6397,2133,29864,5080,2338,756,246705,396088,3474,9804,4117,6397,2118,4836,2678,666
100408,244424,350538,4236,10070,3862,6397,2128,24757,5082,2342,756,243514,360108,1035,9341,3636,6364,2118,5231,2699,646
100610,244686,391461,3274,9608,3915,6397,2133,24800,5002,2390,756,244719,389543,2628,9309,4055,6397,2118,5052,2666,666
101006,243740,376421,2848,10064,3907,6397,2133,28785,4001,2392,756,245347,375085,2734,9946,3988,6397,2118,4942,2633,665
101107,246170,399696,1947,9752,3897,6397,2133,29605,4867,2230,749,245100,395676,1145,9725,3630,6397,2118,5392,2702,666
101309,246972,423086,6136,10235,3745,6381,2131,26451,4816,2380,756,246916,417065,5982,10101,3989,6396,2118,5080,2759,666
101410,245370,410424,1750,9955,3876,6375,2132,25907,5200,2415,756,245848,406168,845,9530,3510,6353,2118,4920,2674,666
101915,245202,399847,4317,10046,3944,6397,2133,29989,5414,2408,756,246650,388976,3110,9657,4068,6397,2118,5395,2759,665
102008,245074,390948,3418,9877,3725,6397,2121,29179,5090,2250,756,245048,393692,1545,9514,3717,6397,2118,5232,2531,666
102109,245555,384195,4951,9933,3606,6397,2133,28363,5108,2214,756,246379,388280,4290,9952,3767,6397,2118,5173,2584,666
102311,245122,402600,2863,10070,3661,6397,2133,26751,5373,2362,756,246121,400806,3285,9859,3715,6397,2118,5273,2691,666
102513,244192,381864,5566,9955,3935,6397,2133,24026,5100,2163,756,245044,384799,4452,9645,3836,6397,2118,5320,2373,663
102614,244079,381300,4701,9990,3859,6397,2133,24053,5076,2253,756,245794,377449,3880,10047,4016,6397,2118,5107,2531,666
102715,239799,369185,2510,9348,2421,6397,2133,23065,5128,2291,756,242273,376362,2404,9455,3082,6397,2118,4936,2639,666
102816,245609,395938,3091,10339,3843,6397,2133,28715,5307,2276,756,245441,395261,1628,9856,3550,6396,2118,5127,2616,662
103010,241928,373222,2653,9737,3300,6397,2133,25021,4813,2256,756,245746,373514,3246,9536,3543,6395,2118,5255,2531,666
103111,229820,387612,271,9189,2053,6397,2133,31334,4685,2020,740,238548,371827,628,9261,2568,6397,2118,5178,2404,650
103212,241862,382493,2159,9957,3249,6397,2133,22889,5068,2166,756,239851,377626,863,9524,2633,6397,2118,4780,2490,662
103414,244812,394866,3292,9921,3939,6372,2133,32674,5187,2265,756,246457,396453,3531,10068,4127,6397,2118,5232,2660,666
103515,238976,400646,1059,9919,3597,6397,2133,29084,5152,2289,755,239766,400895,701,9572,3132,6397,2118,5278,2555,660
103818,247016,400780,2421,10062,3739,6397,2133,25568,5109,2346,756,248250,403191,3020,10087,4064,6380,2118,5229,2726,666
104012,245565,400267,4065,9693,3479,6397,2133,24608,5258,2329,756,244257,406658,2847,10002,3788,6397,2118,5265,2615,666
104416,243771,390452,2238,9630,3773,6397,2133,27311,5403,2276,756,245632,392684,2540,10121,4087,6397,2118,5391,2740,666
104820,243352,382775,1736,9801,3882,6397,2133,29122,4872,2406,754,244692,384662,1563,9700,3953,6397,2118,4983,2692,664
105014,244040,404022,1185,9607,3752,6397,2133,29731,5414,2261,756,245474,394175,1535,9704,3694,6392,2115,5492,2778,666
105115,222566,400823,79,7956,875,6397,2133,29835,4711,2060,754,234240,391007,117,8877,1645,6397,2118,5111,2291,656
105216,241411,370557,1312,9355,3545,6388,2133,25413,5057,2232,748,241549,367307,1405,8672,2865,6385,2118,5350,2560,650
105620,244458,383885,1085,9171,3550,6397,2133,26721,4543,2298,753,242065,376937,1483,9156,3151,6392,2118,5318,2740,650
105923,243985,376711,2131,9819,3579,6397,2133,27129,5218,2105,756,245214,389419,2215,9654,3712,6397,2118,5517,2570,664
106016,244413,387483,5334,10009,3808,6397,2133,27410,5416,2370,756,245936,386431,4273,9802,3936,6397,2118,5443,2705,666
106319,242534,379577,1707,9294,3733,6397,2133,26969,4943,2333,748,244215,374699,1741,9434,3962,6397,2118,4936,2483,665
106521,245966,402685,4670,10310,3945,6397,2133,27224,5291,2378,756,245341,390942,3311,9807,3658,6395,2118,5466,2648,666
106824,240794,411927,829,9758,2655,6397,2133,28279,5044,2199,755,246480,405407,2026,10085,3930,6397,2118,5282,2658,666
107018,245644,399201,3050,10140,3839,6397,2133,27366,5244,2334,756,246080,403401,3146,10029,4107,6397,2118,5148,2691,666
107321,246807,386931,3865,9975,3865,6392,2133,27720,5170,2294,756,247738,390871,4559,10013,4068,6397,2118,5039,2634,666
107422,246162,384677,2783,9913,3882,6397,2133,22482,4967,2268,756,247636,390361,3262,9807,4069,6397,2118,5142,2708,666
107725,245878,412911,1135,9988,3304,6397,2133,31304,4981,2195,755,245953,407540,2384,10150,3987,6397,2118,5289,2653,664
108020,243301,413186,2888,9442,3193,6397,2133,25301,5141,2416,756,242432,411915,2899,8808,2577,6397,2118,4976,2672,663
108121,247266,415094,4861,10311,3949,6397,2133,32875,5303,2440,756,248106,411943,3498,10157,4052,6397,2118,5289,2762,665
108222,239002,387069,1150,9241,2916,6397,2133,22569,5290,2269,756,241681,392988,1548,9270,3154,6397,2118,5323,2636,666
108323,246412,400917,5051,10077,3931,6396,2133,31901,5316,2416,756,247572,399188,5040,9837,4110,6397,2118,5453,2778,660
108525,244458,393475,1975,9532,3641,6397,2133,28537,5071,2347,753,244633,384667,1951,9435,3581,6397,2118,5075,2503,666
108828,242154,399830,1500,8605,2488,6397,2133,27726,4657,2277,741,241786,403167,1150,7985,1995,6397,2118,4478,2645,649
109123,239685,383175,539,9451,3047,6392,2133,29112,5310,2292,755,242811,375881,1236,9525,3101,6397,2118,5125,2498,666
109830,246970,387987,5343,10188,3926,6397,2133,31304,5421,2464,756,247489,392368,5260,9878,4005,6397,2118,5181,2731,666
110007,246674,418339,2528,10137,3876,6397,2133,29846,5336,2450,756,248133,417538,2154,9739,3867,6397,2118,5378,2656,662
110411,246255,387016,2835,9498,3945,6397,2133,25541,5163,2341,756,246637,387513,2294,9476,4106,6397,2118,5192,2557,663
110613,244372,389613,4682,10213,3927,6397,2133,24074,5301,2367,756,245399,388009,4135,9040,4050,6397,2118,5233,2643,666
111009,236099,406466,959,9526,3060,6397,2133,26597,4967,2115,756,237757,403524,526,9186,2676,6397,2118,4881,2517,666
111211,243993,406521,2029,9994,3871,6397,2133,26703,5037,2262,754,243276,394534,957,9555,3021,6397,2118,5266,2628,658
111312,238642,383253,1327,9279,3679,6390,2133,25043,5073,2423,755,241501,382492,711,9307,3595,6397,2118,5075,2707,660
111413,243136,388622,3153,9612,3699,6070,2124,26008,5463,2428,756,244492,386109,3382,9922,4033,6381,2112,5346,2699,666
111514,240796,364532,1238,9483,3801,6397,2133,26859,5329,2415,756,244183,357884,1598,9622,3835,6396,2118,5450,2754,666
111716,239699,365173,1785,9430,3932,6397,2133,25363,5020,2136,755,240707,362303,686,9479,4096,6392,2118,4920,2635,654
112112,237010,375832,449,9111,2017,6397,2133,22443,5108,2250,753,242712,383456,728,9669,3307,6397,2118,5240,2619,666
112314,246751,409647,4493,10152,3878,6397,2133,22431,5226,2326,756,247577,402928,4687,9998,4080,6397,2118,5227,2708,666
112516,245895,386646,6430,10118,3949,6397,2133,26371,4757,2322,756,245685,380946,3628,9719,4126,6397,2118,5042,2623,663
