,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
102109,23686,21412,24174,26396,6329,6445,34170,34373,5748,5889,7370,9264,17601,13070,9607,7573,6229,8801,13925,15734,2178,2196,18558,13203,4843,5672,5379,4822,13322,12432,9968,9932,13726,15264,3632,2497,6959,7109,6888,8011,1715,1785,15769,13498,10339,9693,15377,16148,7114,8382,19584,12523,6123,6028,16972,18372,26112,23799,13082,11989,17999,9380,9210,13880,8556,12416,25428,23490,8911,5445,7329,7341,7941,8510,2285,2188,8686,8313,1445,1456,16282,18178,5295,3910,28358,26147,1811,2204,17086,18164,14073,13217,5398,5391,924,1105,7069,5773,12967,13061,2218,1499,11816,13866,6684,6133,545,564,262,960,3551,2523,1220,1887,1364,631
102311,21178,19002,24363,26400,6294,5957,33057,34114,5648,4901,6485,7969,15184,11582,8335,7657,7036,9014,13560,15644,2176,2118,18191,15471,4678,6159,4536,4003,13331,11962,10318,9794,14547,16386,3533,2342,6931,7293,7105,8565,1709,1811,15223,13814,10978,10679,15449,16719,8229,10203,19996,15055,6114,6123,17330,18663,23198,21039,13034,11875,17615,9230,9221,13693,8385,12416,25446,22580,8290,5045,7299,7327,7942,8510,2285,2188,8643,8309,1717,1783,16982,21183,8330,6208,35540,31763,4197,4742,21789,23931,16063,15886,8402,9344,802,1030,7963,5826,13185,13270,3195,2590,12425,14140,6540,5054,610,341,170,1025,3939,2842,1444,1910,1349,323
102513,20892,18698,22263,23972,6287,5920,33216,34214,5026,4520,6810,8482,16494,11693,10302,8271,6678,8985,12710,13196,1972,2235,19255,14469,4922,6148,5643,5342,12970,11918,10205,9956,14060,14950,3570,2483,6958,7035,6716,8591,1542,1637,15957,13843,9580,9718,15022,16350,6746,8321,18062,13332,5552,6715,17346,19782,23614,21343,12329,10355,17339,9031,8721,13854,8883,12192,22405,19738,7106,4416,7317,7730,7942,8510,2285,2188,8583,8287,1634,1591,15705,18383,7374,5312,30899,27792,3950,4630,20414,22846,15075,16597,6828,6464,807,1086,7329,5981,12850,13109,2807,1842,10650,13020,5615,5523,449,544,186,1018,3697,2396,1086,1834,1362,616
102614,23054,20788,23263,24561,6276,5987,31967,33283,5691,5612,6247,7795,15406,11777,8514,7341,6103,8577,11371,14524,1278,1378,19312,13640,4952,5998,4679,3990,12900,11905,10189,9788,13006,15674,3585,2479,6745,6869,6324,7748,1692,1715,14396,12970,9707,9726,14752,15403,6856,8058,18279,12801,5648,5265,16691,17475,24282,22468,12528,10230,17339,8945,8492,13303,8744,12743,23576,22567,7498,5130,7589,7661,7942,8508,2285,2188,8694,8306,1734,1537,16886,21360,7221,5257,33191,31229,3848,4268,20960,23649,16989,16317,9398,8784,734,908,7184,5597,12820,13085,3264,2344,12723,13305,5987,5933,518,429,187,1062,3427,2028,1244,1791,1309,300
102715,22733,20094,22763,24030,5959,4871,30176,30219,5646,5026,6939,9239,16865,11981,9848,8409,6974,9004,11137,12493,2027,1775,17603,12235,4940,5482,5063,4077,13446,12316,10397,9717,13797,15223,3510,2462,6448,7128,7270,8541,1679,1863,14622,13283,9366,9428,14924,16013,6637,7428,17708,13333,6171,6460,17497,17534,23934,21331,12617,10201,16852,8143,8807,13369,8517,12261,21579,20856,8254,4563,6969,6023,7938,8508,2285,2184,8637,8188,1688,1720,16648,20079,8815,6366,31762,28954,4004,3809,18728,19828,16283,16844,7779,9442,403,619,7024,5590,12914,13103,3152,2432,13447,15419,5735,4266,547,570,179,696,3515,2455,1350,1910,1359,257
102816,22727,19561,23108,26297,6237,6369,34492,35442,4931,4161,6473,8503,15591,11866,8923,7627,7262,8714,12121,14566,2164,2191,17946,14779,5227,6137,6593,5190,14280,12909,10187,9916,14623,16548,3618,2627,6826,7262,7036,8113,1659,1809,15236,13703,10562,10303,14686,15647,8116,9228,18877,13676,5656,5354,17143,18299,24699,23134,13003,11699,18475,9528,9441,14591,8313,11868,25539,21891,8413,5139,7259,7395,7932,8510,2285,2188,8659,8398,1723,1590,16557,22511,6437,4667,32816,31510,2291,2949,20663,22258,15742,14026,6280,6931,723,905,6972,5344,12593,12821,2908,2124,13506,14334,6565,5616,645,612,243,878,2776,2155,908,1831,1347,481
103010,21909,20401,22799,24342,6257,6166,32744,33358,5074,4728,6993,8815,16026,11721,9136,8788,6910,9151,11346,14248,1701,1867,18496,13873,5187,5576,4921,4200,12862,11986,9420,9487,13455,15107,3539,2536,7014,6797,6896,8455,1636,1805,14636,12802,10284,9216,14560,15760,7991,7484,20173,13091,6102,5750,17260,18860,23761,20634,8814,7535,17532,8441,8093,12874,8846,11893,21006,19882,7381,3955,7246,6987,7909,8510,2283,2188,8520,8267,1474,1525,15651,19599,7292,5666,31992,29427,3619,4440,20717,22846,16107,15026,7689,8382,585,876,6703,5420,12696,13447,3340,2526,14171,16675,6161,5228,679,784,128,885,3238,2103,986,1877,1296,225
103111,21390,21583,20857,23862,6175,5439,31327,33832,5730,4474,6963,9357,18153,13205,9900,9532,6351,8109,12117,16182,2076,1817,16446,11942,4856,5335,5081,4270,13178,12531,9467,9753,14064,15735,3582,2490,6767,6492,6649,8047,1540,1694,15814,11040,11395,10508,15246,15986,9110,9700,21598,14816,6003,6596,16435,18652,22610,22196,10730,7849,17012,8745,8303,13533,8326,11274,22971,20430,7237,4291,6332,5273,7942,8510,2285,2188,8397,8082,1576,1491,16088,19615,5439,4674,30858,28308,3787,4307,17651,20713,16314,15036,6717,8178,902,1127,7804,6408,13271,13891,2571,2579,11874,15893,6753,6084,646,898,201,1062,3503,2413,1249,1694,1300,773
103212,21967,19626,21595,22570,5667,5881,31097,32708,4610,3937,6783,9265,18034,13503,9839,9180,6902,9297,10286,14284,2236,2211,16048,12991,5182,5714,5765,4889,14565,13113,10014,9906,13138,15277,3597,2576,6212,6855,6914,7956,1549,1689,14766,13477,10401,9840,15431,16216,6972,8820,18646,14312,5512,5873,17051,18862,23656,22800,11780,11512,18055,9086,9265,13349,8454,13145,23143,21230,7124,4275,6564,6890,7933,8510,2285,2188,8619,8335,1616,1408,15455,17412,6063,4562,32663,28163,3652,4371,19757,22808,15116,14542,6368,6471,635,963,6750,5950,12501,12827,2674,1880,12077,14532,5878,5458,216,293,164,801,3407,2390,1040,1488,1334,287
103414,23660,21473,24595,26736,5758,4884,32315,31961,4303,4110,7504,8629,16322,11784,9641,10493,7070,8723,13050,15205,2147,2078,18452,14997,5066,5851,5670,4416,13658,12408,10446,10105,14445,16158,3463,2435,6831,7067,7256,8285,1671,1856,15284,13628,11054,10304,14520,15765,10244,10177,22927,15627,5601,5678,16701,17836,25007,22892,11109,9644,18127,8568,9349,13741,8519,12008,21705,21078,7940,4059,7682,7745,7942,8477,2285,2186,8685,8301,1727,1770,17193,21149,8498,7036,33884,30939,5127,6263,16441,17901,15580,15557,9432,9961,870,1173,7230,5910,12480,12643,3284,2820,12517,15480,6715,5962,707,757,293,1077,3254,2382,1086,1885,1358,395
