,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
100206,1841,12111,21711,24243,11354,76658,35808,20859,30578,31031,47790,25527,67279,69465,67404,39190,17868,17230,8320,10081,1815,5594,3278,2693,16362,29357,4053,4901,11235,70681,16088,25688,27507,7807,5887,5381,15059,22116,22347,30614,146688
100307,1843,11344,20708,27261,10551,82119,36220,20399,30575,34645,47221,24998,67761,75541,72856,40161,20023,17516,9552,11482,1804,6464,3428,2638,17870,31006,4422,5693,12351,74362,17059,24874,28584,7963,6365,5614,15750,24577,24792,29525,151057
100408,1320,11334,20337,26904,10085,75674,30209,19599,29215,31824,48754,22633,62812,71414,61598,37664,19181,17758,8832,8188,1835,5604,3367,2508,14091,30324,4558,3667,8655,72461,12657,26463,28378,7936,5777,3823,13729,20121,24331,29479,140247
100610,1829,11670,20978,27141,12055,78715,37789,20682,29192,31151,51587,24340,65011,72281,71210,37777,19717,17659,9384,11942,1678,5439,4181,1980,15705,30447,4558,5689,12440,76304,15795,27511,28253,7903,6163,4697,14311,21792,24033,31308,148389
101006,1942,13034,20834,26935,12132,78022,37032,17811,28621,31809,46278,23607,62813,72132,65563,35071,20167,17928,9045,11600,1797,5716,4088,2335,15150,29394,4519,5803,12039,75513,13683,25328,29030,7903,6229,5689,15301,23394,24868,30184,147856
101107,2077,12437,21944,28651,12496,82133,37028,20810,30281,33524,48007,25967,69532,75289,69302,38126,18925,17890,9540,12730,1809,5492,3674,2384,16158,29740,4547,5258,11206,74614,19420,27084,29288,7916,6236,5108,15241,24824,26417,31390,149589
101309,2369,14027,23757,31448,14197,88382,40230,23723,32693,33212,53173,25705,68127,73527,75121,36834,19133,18690,9923,11736,1834,6727,4085,2693,17448,30979,4745,4989,11417,76218,13388,28124,31080,7904,5769,4012,15630,21559,25942,31938,148591
101410,1955,13215,21795,28532,13261,85540,38357,22036,31990,32493,51345,26076,69268,74260,72021,41304,19841,17877,9039,11446,1836,6666,4047,2675,16280,30225,4712,5302,12762,73642,22047,27023,29961,7973,6430,5412,15987,24214,24798,30390,147459
101915,1769,11819,20771,26928,10721,82425,35057,21082,31280,30819,48659,25664,68912,76271,65245,39346,18807,18099,9901,12399,1826,6286,3975,2446,16758,30310,4560,6111,11684,75051,15494,26819,29231,8073,6330,4901,15587,25258,25457,32555,150459
102008,1260,11875,21522,28201,11239,81382,33299,20900,31919,29838,51934,24466,66897,76024,65437,38540,18304,17763,9099,11793,1804,5873,3614,2574,17369,29655,4298,5150,10971,75508,16898,27022,30241,7825,5948,4722,15267,24166,24989,32081,148367
