,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
100206,79895,18883,30507,36829,7528,9725,50342,26344,4121,5491,6426,18452,11559,5086,12055,9347,40556,17632,11530,13920,16024,58436,22666,10112,6060,8179,6353,19294,16686,16578,35180,8832,20689,8104,4780,25319,4501,11208,11489,14291,5046,13845,8253,4574,3297,6975,1891,29840
100307,86556,20640,33598,36016,8359,10507,56180,30356,4313,6205,6222,19722,13141,5043,14555,10020,42570,16583,10195,15325,16126,58070,26120,10652,6745,8973,6607,21294,18985,17168,36223,8434,17362,9092,5260,25027,4818,12171,11457,14282,5133,14001,7920,4956,4379,7667,1882,29283
100408,87829,15358,29303,34408,5894,8235,50943,24238,3208,5459,5587,18542,13491,4517,11955,10538,40423,15908,10739,16066,18340,54774,26211,10595,7265,7074,4461,19778,17682,16769,33759,8522,13486,5135,3927,24953,3048,9743,11464,14379,4643,12386,7674,5443,3963,6913,1814,20955
100610,87374,20029,34441,31238,6775,9484,52726,26550,4022,5980,5128,18441,14661,4760,14367,10948,40590,18373,11355,16551,17839,60684,25674,10228,7091,9752,7598,20584,18675,16269,37707,9351,21921,9778,5154,24928,4173,12458,11620,14397,4898,14007,8076,4345,3846,7177,1834,24803
101006,86053,18754,27036,33249,8021,10136,53658,24098,4011,6013,4584,17347,13200,3677,12460,10936,41240,18528,12382,17047,17313,57105,25058,10713,6278,8670,6762,18881,18002,17010,39020,9504,18793,9174,5049,23150,4635,11920,11652,14241,4745,14347,8220,4377,3603,6976,1995,23182
101107,86645,19678,32141,37778,8966,10186,56011,30086,4285,5648,6198,18055,13501,5115,12429,10401,44703,18919,11361,14821,16356,59863,26948,10420,6072,9759,7565,19288,18948,16934,38301,9383,22905,8482,4260,25260,4557,11941,11408,14405,4824,13864,8354,5439,3795,7404,1983,28503
101309,99640,19275,39462,39268,6709,8969,58958,25576,3262,5766,5279,18049,14430,5104,13795,11043,47795,21081,12811,17314,18548,64426,25970,11024,6891,10963,5991,21237,19583,18700,43469,9765,19586,9158,5394,26399,4613,12251,11755,14464,4970,13920,7957,5807,4228,7482,2046,26163
101410,87530,17207,35852,36043,8757,10503,58219,34795,4291,5948,6432,19416,14090,5311,12473,10282,43599,19846,12229,16788,18041,60784,26756,10375,7033,9809,7186,20071,18013,17558,38949,9542,20773,9521,5581,25024,4775,11983,11667,14314,5041,13008,7603,4888,4390,7584,1994,30787
101915,82552,19755,32949,38151,9030,10491,56479,26702,4190,5779,6340,18799,13413,4181,9971,10023,40602,17315,10802,15868,16242,60346,28708,10467,6582,8935,7267,20009,19317,17533,37313,9231,21660,9329,5343,23868,4688,11437,11673,14137,5137,13751,7710,5653,4586,7873,1842,34659
102008,85233,18994,33670,39387,8418,9723,55668,26646,3873,5431,6004,18664,13832,4655,11350,11057,40969,17141,11170,16106,17101,57084,28347,10406,6486,8826,7512,19659,17937,17496,38548,8996,22963,8122,5266,25464,4198,11168,11535,14369,4898,13747,8090,5615,4321,7363,1838,30777
102109,90307,19003,34301,38995,8688,10987,57078,14679,2898,4173,2517,13840,13235,2313,10836,10495,44908,20186,11769,16312,18404,61687,26564,10661,6703,10020,7793,19594,18124,17328,40480,9475,20085,8721,5263,25363,3943,12131,11632,14483,4955,13628,8087,5400,3722,7029,1801,22817
