,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
100206,14935,1500,8626,13270,12608,471,1280,1236,582,658,956,904,892,777,2225,2161,3137,3018,3754,3752,2506,2469,6849,6852,7498,7508,3713,3714,3972,3976,2228,2231,5611,5587,2333,2657,1233,1155,1111,1124,6607,6605,507,507,380,376,516,567
100307,15596,1500,8851,13621,12682,569,1318,1327,688,699,968,968,976,954,2278,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2260,2751,1228,1155,1112,1125,6597,6601,507,507,380,376,596,600
100408,14029,1500,8514,13393,12675,574,1299,1291,688,698,966,963,724,776,2253,2079,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3746,3953,2216,2231,5611,5563,2342,2751,1224,1043,1124,1100,6603,6604,507,507,380,376,311,599
100610,15158,1500,8686,13595,11984,454,1307,1312,670,692,885,903,789,756,2219,2276,3138,3018,3754,3752,2514,2469,6849,6852,7500,7508,3728,3714,3972,3976,2228,2231,5611,5587,2342,2751,1236,1155,1124,1125,6607,6601,507,507,380,376,414,551
101006,15314,1500,8069,13179,11442,589,1346,1347,690,699,950,861,638,765,2278,2255,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1231,1152,1124,1125,6607,6605,507,507,380,376,593,437
101107,15436,1500,8478,13618,12676,452,1319,1322,690,699,961,966,975,955,2278,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1107,1094,1122,1125,6569,6604,507,507,380,376,590,536
101309,15145,1500,8810,13419,11753,585,1275,1257,684,698,942,968,978,902,2242,2211,3138,3018,3754,3752,2508,2469,6849,6852,7500,7508,3728,3707,3972,3978,2228,2231,5557,5586,2342,2751,1233,1139,1124,1124,6567,6598,507,507,367,376,596,600
101410,13673,1500,8515,13080,12411,486,1300,1340,689,699,949,968,959,963,2255,2253,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5541,2342,2751,1236,1149,1067,1061,6596,6601,507,507,380,376,461,534
101915,15552,1500,8851,13624,12059,647,1352,1359,661,691,966,968,833,863,2238,2226,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1236,1155,1119,1118,6607,6605,507,507,380,376,507,361
102008,15226,1500,8694,12536,12007,473,1359,1370,682,689,968,968,978,969,2260,2258,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5580,2320,2747,1236,1153,1074,1124,6607,6599,507,507,380,376,574,600
102109,15502,1500,8845,13554,12573,635,1316,1309,607,635,920,934,990,976,2110,2042,3138,3018,3754,3752,2515,2462,6849,6852,7500,7508,3723,3664,3957,3978,2228,2231,5590,5587,2340,2675,1236,1155,1124,1125,6591,6586,507,507,378,371,581,597
102311,14453,1500,8839,13544,12497,569,1309,1324,690,699,962,955,903,888,2271,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3727,3714,3964,3961,2228,2231,5611,5587,2341,2751,1236,1155,1122,1125,6605,6583,507,507,380,362,351,197
102513,14901,1500,8747,13623,12600,566,1270,1255,624,649,927,954,881,937,2260,2234,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2335,2700,1236,1153,1124,1125,6586,6598,507,507,371,371,595,595
102614,13087,1500,8791,12946,11247,552,1292,1258,690,699,960,956,728,901,2108,2052,3138,3018,3754,3752,2515,2469,6849,6850,7500,7508,3728,3714,3972,3978,2228,2231,5611,5584,2336,2751,1236,1155,1112,1125,6607,6605,507,507,380,376,596,600
102715,14272,1500,8809,12655,10992,283,1281,1293,690,698,868,777,864,871,2252,2206,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3970,3978,2228,2231,5601,5586,2342,2748,1185,1098,1124,1125,6588,6602,507,507,380,376,596,600
102816,15288,1500,8309,13307,11350,518,1341,1354,690,699,968,967,925,967,2278,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3970,3978,2228,2230,5611,5587,2342,2751,1186,1126,1124,1123,6607,6595,507,507,378,368,540,593
103010,14437,1500,8500,13132,12413,617,1281,1302,684,694,961,942,790,888,2177,2119,3138,3018,3754,3752,2509,2464,6849,6851,7500,7508,3728,3714,3972,3978,2228,2231,5611,5578,2315,2746,1236,1154,1124,1125,6607,6605,507,507,380,376,574,572
103111,15602,1500,8115,10210,8407,375,1362,1370,604,627,961,941,910,923,2277,2273,3138,2945,3754,3752,2515,2469,6849,6801,7500,7507,3725,3673,3909,3461,2228,2231,5611,5587,2341,2749,1236,1149,1123,1125,6583,6597,507,503,380,373,233,72
103212,13921,1500,8132,12557,11484,331,1298,1304,673,684,959,940,893,955,2265,2278,3138,3018,3754,3752,2515,2444,6849,6852,7500,7508,3728,3708,3972,3978,2213,2189,5611,5587,2337,2743,1232,1154,1122,1125,6589,6576,507,507,359,341,537,600
103414,15588,1500,8447,12686,11938,538,1362,1370,690,699,968,967,991,979,2278,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1236,1149,1124,1125,6606,6605,507,507,380,376,596,587
103515,15464,1500,8663,9115,7500,459,1360,1362,668,686,966,967,823,822,2278,2271,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3970,3971,2228,2231,5611,5587,2342,2751,1228,1155,1124,1125,6606,6601,507,507,380,376,573,419
103818,14332,1500,8709,13344,12481,561,1312,1305,677,687,968,961,934,878,2240,2276,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1236,1149,1118,1125,6607,6605,507,507,380,376,578,516
104012,11985,1500,8851,13067,11251,581,1177,1285,690,699,947,944,986,849,2155,2252,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3939,3964,2228,2228,5611,5587,2342,2751,1212,1155,1090,1116,6605,6603,507,507,378,376,458,540
104416,13715,1500,8139,12259,11799,548,1350,1360,690,699,944,935,908,826,2263,2271,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3699,3957,3954,2228,2223,5611,5587,2342,2751,1236,1155,1124,1124,6607,6605,507,507,380,376,487,236
104820,15537,1500,7757,13193,11386,567,1342,1340,690,699,890,941,823,880,2278,2274,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3951,3978,2228,2209,5611,5587,2342,2751,1236,1149,1124,1125,6607,6605,507,507,380,376,556,512
105014,15417,1500,8555,12726,11403,604,1347,1366,587,637,944,968,946,955,2213,2159,3138,3018,3754,3752,2515,2469,6849,6852,7499,7508,3728,3714,3960,3978,2228,2231,5611,5587,2342,2751,1234,1155,1124,1099,6607,6604,507,507,380,376,567,455
105115,15543,1500,6754,4449,6663,117,1361,1360,574,626,949,965,799,851,2268,2277,3096,2691,3754,3747,2514,2468,6712,6322,7500,6930,3728,3542,3657,2374,2177,1939,5611,5587,2342,2750,1213,1101,1107,1122,6607,6605,502,285,380,376,188,4
105216,13863,1500,8552,12846,10095,306,1325,1335,690,699,939,963,907,908,2158,2125,3138,3018,3754,3752,2499,2469,6849,6852,7500,7508,3704,3714,3972,3978,2228,2231,5611,5587,2289,2723,1227,1150,1114,1118,6606,6602,507,507,375,376,400,355
105620,15521,1500,8819,13137,11400,464,1294,1283,638,651,957,899,938,927,2245,2202,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3727,3714,3808,3951,2223,2231,5611,5587,2311,2751,1236,1155,1124,1100,6576,6603,507,507,380,376,475,453
105923,15162,1500,8758,13388,12310,557,1326,1312,653,607,968,917,983,952,2194,2243,3138,3018,3754,3752,2513,2469,6849,6852,7500,7508,3728,3714,3776,3961,2225,2231,5609,5587,2335,2737,1223,1148,1124,1125,6606,6605,507,507,369,370,529,525
106016,14697,1500,8743,13296,11501,522,1353,1346,637,667,964,965,958,951,2232,2179,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2298,2739,1228,1155,1083,1124,6607,6605,507,507,380,376,566,440
106319,14885,1500,8807,13211,11263,591,1333,1344,690,697,959,968,799,815,2276,2270,3138,3018,3754,3752,2515,2464,6849,6852,7500,7508,3728,3706,3972,3969,2216,2231,5611,5587,2342,2751,1236,1155,1054,1099,6605,6605,507,507,380,376,583,377
106521,14938,1500,8606,13621,12253,494,1318,1326,690,699,968,944,913,976,2277,2253,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2734,1218,1149,1124,1124,6601,6595,507,507,380,376,547,557
106824,15056,1500,8839,12481,10745,527,1355,1341,690,699,968,963,990,952,2269,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3710,3972,3823,2228,2231,5611,5587,2342,2751,1236,1155,1121,1125,6603,6605,507,507,379,376,560,331
107018,14638,1500,8732,13408,11308,572,1327,1322,690,699,968,968,972,946,2244,2269,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1236,1153,1099,1116,6598,6605,507,507,376,376,596,600
107321,15073,1500,8813,13503,12487,509,1350,1353,690,699,943,916,762,880,2270,2275,3138,3018,3754,3752,2512,2458,6849,6852,7500,7508,3728,3714,3966,3978,2188,2216,5611,5587,2342,2750,1222,1125,1124,1125,6607,6593,507,507,380,376,579,590
107422,12905,1500,8549,13496,12484,543,1270,1283,690,698,747,902,955,953,2244,2270,3138,3018,3754,3752,2515,2469,6849,6846,7500,7508,3728,3714,3972,3978,2228,2230,5611,5566,2342,2739,1226,1128,1124,1125,6591,6603,507,507,370,357,565,589
107725,15370,1495,8590,13330,11755,585,1362,1365,690,693,956,958,975,896,2273,2278,3138,3018,3754,3752,2513,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1223,1143,1124,1125,6605,6604,507,507,380,376,584,437
108020,13259,1454,8737,13492,10763,179,1345,1344,690,699,944,944,891,972,2271,2278,3116,3018,3754,3752,2514,2469,6816,6852,7500,7508,3728,3714,3972,3978,2228,2225,5611,5587,2299,2721,1215,1155,1112,1123,6607,6602,507,507,380,376,596,508
108121,14532,1498,8843,13632,12079,657,1362,1370,689,699,968,968,964,976,2277,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3970,3978,2228,2231,5611,5587,2342,2751,1236,1155,1121,1125,6607,6605,507,507,380,376,546,474
108222,13890,1500,8663,12421,10191,520,1284,1286,678,649,937,831,899,732,2225,2247,3138,3018,3754,3752,2511,2469,6849,6852,7500,7508,3710,3709,3972,3915,2228,2231,5611,5587,2342,2751,1236,1155,1101,1125,6595,6560,507,507,373,374,516,273
108323,15420,1500,8786,13628,12569,587,1361,1362,653,695,955,965,951,984,2274,2251,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3966,2228,2231,5610,5583,2341,2751,1236,1154,1124,1125,6607,6605,507,507,380,376,596,455
108525,15591,1500,8718,13516,12684,470,1304,1289,653,676,958,968,944,878,2246,2266,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3956,3856,2228,2231,5611,5587,2342,2751,1235,1102,1115,1125,6607,6604,507,507,380,376,585,456
108828,14800,1496,8591,13447,12295,97,1358,1363,690,699,951,968,880,925,2259,2268,3130,3017,3753,3752,2494,2469,6849,6852,7500,7507,3687,3693,3969,3972,2228,2231,5611,5587,2332,2751,1135,1144,1054,1124,6607,6597,507,507,380,376,549,350
109123,15162,1487,8713,12819,11430,223,1354,1362,676,684,962,966,930,950,2278,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3703,3927,3908,2228,2206,5611,5587,2342,2751,1236,1151,1122,1125,6607,6605,507,507,380,376,185,103
109830,15420,1497,8795,13656,12628,559,1362,1370,690,699,965,967,854,928,2278,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1234,1153,1115,1125,6607,6605,507,507,380,376,583,560
110007,14843,1483,8779,13664,12151,553,1343,1354,690,699,968,963,942,974,2278,2278,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2231,5611,5587,2342,2751,1236,1155,1124,1125,6607,6604,507,507,380,376,596,581
110411,14689,1500,8676,12817,12691,433,1307,1306,690,699,941,939,982,966,2274,2266,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3972,3978,2228,2224,5611,5587,2342,2737,1232,1155,1121,1124,6607,6605,507,507,380,376,548,502
110613,13779,1500,8791,13516,12412,469,1282,1258,667,693,950,954,896,938,2278,2243,3138,3018,3754,3752,2515,2466,6849,6848,7500,7508,3728,3714,3964,3972,2226,2231,5591,5562,2340,2728,1236,1155,1122,1125,6607,6589,507,507,380,369,587,600
111009,14888,1500,8732,8891,6603,584,1333,1337,690,699,949,967,876,955,2273,2264,3134,3017,3754,3752,2502,2469,6849,6852,7495,7508,3677,3714,3891,3932,2228,2231,5611,5587,2342,2751,1236,1155,1115,1125,6598,6605,507,507,380,376,262,258
111211,15058,1500,8659,11803,11387,513,1278,1272,653,651,968,962,838,738,2225,2230,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3906,3945,2228,2231,5611,5587,2342,2751,1236,1155,1123,1124,6607,6605,507,507,380,376,390,566
111312,14749,1500,7578,9319,12383,487,1271,1255,661,680,958,948,812,821,2217,2221,3138,3018,3754,3752,2484,2431,6849,6852,7495,7479,3662,3568,3963,3946,2228,2224,5603,5587,2342,2751,1236,1124,1121,1116,6607,6596,507,507,380,376,375,262
111413,13560,1500,8848,13016,11038,629,1315,1354,689,699,967,947,961,923,2156,2236,3138,3018,3754,3752,2515,2469,6849,6851,7500,7488,3727,3683,3972,3977,2228,2231,5611,5577,2324,2751,1236,1155,1124,1125,6607,6605,507,507,368,373,482,237
111514,14790,1500,8563,12927,11800,566,1356,1357,690,699,966,941,954,858,2275,2252,3138,3018,3754,3752,2506,2411,6849,6852,7500,7508,3723,3666,3859,3828,2228,2203,5611,5587,2342,2751,1235,1119,1121,1124,6607,6605,507,507,380,376,70,8
111716,14836,1500,7986,13197,11055,557,1342,1353,624,630,925,933,928,938,2129,2156,3138,3018,3754,3752,2515,2469,6849,6852,7500,7508,3728,3714,3788,3972,2228,2231,5611,5587,2337,2741,1235,1132,1121,1117,6590,6587,507,507,380,369,254,120
