,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
100206,83263,19886,31997,37151,7662,9636,50625,27679,3901,5973,6129,18349,12052,5104,11384,9792,38410,16379,11658,13822,16442,56817,23640,9927,6578,8771,7109,19938,17884,17358,35297,8547,21110,8873,5191,25784,4651,11397,11598,14110,4792,13176,7882,4204,3380,6515,1893,31857
100307,86996,21187,35114,36825,8273,10405,54895,31478,4305,6102,5965,19637,13456,5035,14376,10131,42152,16441,10167,15541,16439,57907,26563,10698,6908,9459,7345,21921,20091,18195,37425,8440,18674,9171,5314,26167,4818,12252,11678,14222,5126,13833,7751,4978,4453,7494,1947,29043
100408,88512,16820,29180,33248,5856,7792,50341,24962,2981,5631,5564,18474,13554,4354,11044,10596,36904,15186,10172,15445,17165,53290,26774,10552,7348,7811,5371,19776,18201,17078,35129,8138,14332,6095,4103,25320,3396,10005,11428,14183,4275,11147,6998,5010,3890,6565,1785,21875
100610,87368,20558,33354,31145,6566,9220,50065,27323,3886,6070,5141,18325,14601,4620,13970,11136,38144,16916,11152,15761,17350,58394,27112,10090,7243,9610,8001,20639,19380,16888,37837,8894,21868,9826,5307,25845,4049,12487,11615,14291,4715,13421,7841,4092,3824,6834,1847,28851
101006,85112,19005,27685,33197,8184,10043,52405,23910,3867,6092,4350,17859,13762,3494,11951,11363,40370,17659,12161,16450,16941,56019,27141,10616,6792,9034,7130,19030,18287,17291,38673,9357,19169,9473,5144,23803,4555,11806,11625,14214,4686,14017,7866,3983,3340,6392,2006,26549
101107,85713,19957,32060,36745,8692,9703,54194,30560,3960,5587,6041,18446,13849,5079,11855,10653,41901,17972,10516,13915,16226,59526,28108,10390,6314,9672,7889,19159,18998,17435,37775,8978,22351,8932,4414,25892,4582,12098,11570,14375,4635,13412,8076,5156,3718,6967,1973,31166
101309,102481,20116,39939,40692,7138,9376,60006,27400,3390,6059,5446,19044,15329,5133,13857,11360,47579,21084,12705,17902,18709,66230,28203,10981,7326,11119,6512,21542,20288,18927,43772,9629,18492,9310,5399,26606,4690,12175,11752,14403,4864,13763,7820,5551,4316,7553,2020,29380
101410,87191,17548,35766,35868,8224,10006,56252,34621,4112,5643,6067,19113,13984,5215,11466,10091,40893,18454,11291,15794,17566,60989,27125,10116,7119,10029,7674,20319,18736,18157,39161,9370,20977,9565,5648,25254,4786,11828,11668,14232,4896,12427,7262,4899,4385,7518,2022,32081
101915,85941,20102,32667,37071,8869,10457,54271,27439,3913,5597,6182,18811,13629,4021,9964,10222,37934,16096,10525,15408,15968,57435,29010,10487,6939,9597,7880,20588,19866,18057,37746,9070,21806,9515,5385,24903,4656,11650,11728,14074,5029,13581,7399,5540,4519,7569,1837,34028
102008,86334,19388,33785,38073,8209,9658,54737,26928,3633,5240,5872,18161,13767,4477,10874,10996,40206,16957,11044,15883,17093,57756,29117,10410,6729,9332,7918,19973,18522,18148,38739,8545,23131,8793,5373,26153,4328,11332,11611,14212,4740,13295,7821,5443,4291,7292,1857,33347
102109,95114,19768,33550,38873,8442,10612,55886,16337,3028,4226,2503,13974,13495,2404,10537,10524,43322,18971,11109,15626,17797,62618,28119,10625,6963,10305,8300,19741,19245,18184,40814,9396,20951,9261,5517,26046,4022,12018,11659,14306,4725,13106,7831,5204,3646,6737,1840,26325
102311,90960,19116,35413,36916,6930,9053,49504,27448,3946,5929,6129,19890,15068,4573,14492,11455,39528,17471,11288,16994,18034,63871,27550,10785,6059,10357,7983,20649,19833,17999,41580,9179,20409,9187,5486,26634,4676,11646,11715,14439,4850,13586,7110,5091,4133,7053,1938,26761
102513,87207,18520,32184,36039,6942,9447,49005,26092,2459,3850,3031,14469,14116,3659,13538,11401,36838,17223,10605,15366,17560,61403,27957,10758,6959,9074,8493,20065,19612,17803,36137,8288,22575,9539,5244,25408,4678,12412,11588,14377,4825,13471,7929,5521,4095,6674,1817,25235
102614,92269,19242,32494,36163,6905,8426,51507,26791,3780,5818,5340,18782,14236,4873,12815,11585,39324,16284,10012,14863,16596,60229,26732,9930,6958,8757,5407,19471,18430,17754,38674,8409,17400,8813,5193,24461,4446,11247,11517,14095,4487,12632,7159,4793,3830,7108,1727,22426
102715,86936,19503,31553,35280,8201,10037,52186,26361,3481,5162,4343,16842,14087,3068,11177,10872,38616,17278,9814,14506,16289,61125,29065,10167,6777,7304,7354,19615,19558,17543,36344,8061,20487,9572,5276,24622,4089,11431,11580,14116,4713,14050,8414,5476,3964,6821,1889,21780
102816,94767,19931,32276,37259,7333,8815,51863,18833,4086,6169,4449,19486,15713,3406,14009,11738,40753,18099,11994,16215,18328,61289,27187,10442,7142,9131,8480,19406,19588,18136,38954,9247,21021,9408,4795,24907,3646,12371,11565,14312,4951,13949,7797,5341,3885,7415,1961,25242
103010,90801,19366,31493,35803,8257,9634,49649,24684,3992,4992,5327,17856,14379,4043,14337,11544,39499,14472,9551,14913,18015,53598,29708,10653,6689,8534,6397,20173,18256,17471,35488,8451,20410,9418,5445,24890,4296,12331,11644,13962,4820,14048,7895,4237,3429,6920,1876,24440
103111,84581,20908,33170,38339,8838,10584,53587,24479,3670,4734,5256,16422,13548,3788,10575,10349,39163,15876,11502,15107,17115,58428,27664,10097,7034,10062,7789,19662,19021,18446,40136,9148,21397,9201,5330,25949,4580,11663,11719,14449,4455,12705,6809,4915,3839,7786,1972,37642
103212,87649,20627,26400,35914,8627,10270,48476,24411,2986,4149,3884,16309,14560,4710,13936,10520,37435,16975,10734,15803,17911,60305,27951,10335,7294,8329,8371,19081,18943,17735,37150,8893,22191,9062,5561,25703,4442,12152,11679,14254,4851,14385,8050,4603,3808,6399,1872,24346
103414,85336,20091,37497,36525,7801,9981,56809,31503,3855,5685,6207,19332,14102,4177,9446,8747,40335,17967,12101,15761,17795,62759,25349,10167,7057,9702,8443,20834,19675,17481,39178,8768,21919,9275,5371,25270,4608,11615,11620,14261,4946,13331,7880,5572,4534,7542,1851,35088
103515,98643,20536,38737,38262,7937,10177,56168,23066,3426,5439,3781,17487,15283,3981,13396,11760,42522,16657,12002,16571,18222,61347,30652,10527,7486,9599,8265,21571,19439,18658,40721,8399,21253,9643,5542,23702,4850,12367,11631,14187,4994,14132,7617,4171,3278,7007,1887,26151
103818,93932,20523,30481,38523,8509,9971,55585,26463,3860,5478,5249,17564,14232,4154,10425,10747,42957,17418,10925,15931,17930,58569,27164,10227,6857,8853,7931,21231,19467,18307,39535,8851,20781,9637,5643,25753,4815,12012,11686,14245,4517,13281,7720,4831,4190,7348,2051,29527
104012,89445,19644,34829,34879,8915,10907,56042,31631,4203,5387,5339,18467,14716,4255,10032,11426,42796,18504,11478,16203,17141,59977,28219,9689,7124,10232,6495,20560,19823,18560,38997,9610,19266,9065,5322,25976,4583,9855,11637,13857,4734,13213,7266,5483,4198,7601,1944,25917
104416,83961,18990,33239,34986,5992,9347,54122,30485,4026,5547,6174,18972,14563,4510,10096,10671,39532,17221,11611,16663,17354,62647,29090,10537,7004,9495,7695,20840,19869,18318,38242,9136,20493,9288,5501,23787,4574,11069,11692,14279,4960,13394,7480,5662,4480,7785,1876,23728
104820,85449,19764,33343,32849,8174,10340,56386,25229,3761,5483,4444,16904,14437,4445,12898,10784,40742,18300,12550,17527,17007,58137,25934,10822,6971,10460,6709,20498,18816,18165,39367,9296,18900,9620,5258,24968,4672,11791,11586,14198,4701,13873,7671,3872,3172,6548,1946,25096
105014,94659,19985,37322,38144,8304,10119,56616,22712,3734,5865,5451,18455,15393,4231,10874,10744,42980,17509,11086,16175,17423,61087,31108,11139,7424,10051,8212,21307,19825,18407,40481,9061,21540,8788,5306,24567,4166,9966,11674,14394,4885,13639,7714,5240,4123,7703,2002,30283
105115,84308,19985,37170,37152,6823,9239,54124,25863,3715,5984,6559,20550,14881,5193,14174,10978,39908,19263,10226,16581,18254,66714,31115,11023,7051,10377,6975,19833,18660,18726,42550,9622,20114,8247,4961,26136,4733,11895,11732,14359,4737,12686,6924,4092,3652,7376,1942,27350
105216,89258,17626,30950,34524,7758,9112,50391,23070,3421,4344,4554,16277,13159,3418,10361,11041,37230,17126,10466,15055,15546,53668,25039,9677,6479,9766,7812,19244,18223,17174,37184,8231,22241,9303,5328,25440,4676,10355,11522,13812,4725,12208,6357,5316,3974,6840,1681,25891
105620,84880,20282,33704,34095,7993,9806,51187,26457,3688,5576,5640,18633,13303,4311,13001,10581,39610,14148,9778,15033,16408,57199,26932,10311,7236,9020,7598,19860,19226,17106,37944,8362,22032,9287,5435,25855,4379,9459,11619,14138,4718,13564,7482,4756,4150,6462,1670,27403
105923,92881,19417,34601,36909,8450,9519,49973,21802,2961,4862,4816,17486,14453,4071,13988,10904,37014,15881,9882,15699,17352,57020,26950,9872,7082,9486,8466,19817,18530,16755,35700,8743,23115,9098,4913,25510,4833,12591,11579,14343,4907,13135,7302,4720,3785,6439,1794,29460
106016,93339,20358,32705,39552,8498,10941,56864,29350,4245,5505,5546,16427,13174,4347,4241,7811,41827,17522,11696,15898,17287,55865,27048,9958,6269,8900,6753,20614,19512,17891,36265,8457,19617,9039,5364,25928,4810,7900,11527,14095,4960,13410,7462,4906,3876,7603,1824,31501
106319,82902,20295,30725,33326,7924,9189,49111,25644,3882,4890,5096,17583,14163,3879,9518,10046,37025,15306,10802,14549,16137,54703,27340,9764,6265,9453,7042,19062,19424,18227,36713,8981,21106,9079,5471,25086,4751,10952,11590,13961,4891,12449,7035,5014,4043,7546,1683,26020
106521,94726,20281,33566,36372,6588,9026,55409,27663,3746,5708,5047,18511,14973,3806,12605,11387,40827,17719,11870,16500,18373,63530,28103,10518,7019,9983,7544,21218,19615,17485,40346,9457,19201,8780,5282,26364,4481,10316,11678,14258,4852,14172,7958,5252,4188,7331,1791,22689
106824,95605,20924,35432,39510,8133,10360,57621,25898,3687,5396,6047,17867,13995,3751,10836,11074,41167,19221,10790,15103,17628,64755,28170,10739,7199,10218,8508,22015,20416,18978,41483,9204,24115,9601,5673,26245,4172,11069,11731,14251,5202,14610,8153,5657,4441,7878,1989,27755
107018,95194,20098,35032,38367,8620,10901,56251,23585,3916,5953,5174,19303,14284,3512,11902,10470,41582,17294,11568,16113,17315,61717,28254,10198,7116,10239,8797,21339,19746,18717,39026,8929,22553,9152,5372,24950,4543,10884,11574,14044,5027,13679,7957,5312,4172,7201,1965,30103
107321,93188,19308,35850,37121,6816,9023,55310,25651,4093,5537,6744,20394,14360,4744,12439,11089,42448,19515,11616,16293,16880,63027,23905,10496,7072,9663,7546,20384,18871,17703,40468,9624,19137,8698,4471,24535,4466,10272,11352,14123,4835,13802,7751,4416,3595,6980,1945,23778
107422,92093,18574,33747,35556,6810,9423,51151,32384,4075,5909,6524,19469,13798,4997,11048,10717,42325,19675,12653,17037,18190,63719,24591,10733,7032,9432,7664,20773,19236,18325,37643,9010,19344,9329,5081,25734,4856,12020,11680,14154,5251,13761,8165,5663,4245,7487,1822,21095
107725,95405,20152,37895,40361,7890,10050,56785,26383,3679,5517,5314,17468,14534,4752,13726,11289,46016,19784,12019,16837,18166,63931,29383,10673,7118,10359,8120,20596,18789,18064,40532,9347,21390,9450,5297,25374,4705,12183,11696,14073,4971,14057,8202,4363,3776,6470,1836,25054
108020,94128,20554,34945,37782,8489,10512,58207,29409,3936,5006,5667,17325,14789,4495,11291,11295,43553,18530,11087,15549,17007,61936,27191,9602,6715,11261,6673,21304,20490,18674,40937,8903,18175,9358,5645,26188,4623,12041,11719,13911,4820,14026,8133,5526,4021,7302,1938,23590
108121,93388,20559,35146,37880,8126,10425,56616,28312,3783,5642,4545,18924,15505,4290,14353,11493,43934,20716,12442,17260,18653,63924,27848,11089,7192,11044,7690,21932,20185,19081,41850,9542,20020,9869,5676,24577,4611,12343,11734,14459,4958,14443,8187,5387,4447,7764,2027,26560
108222,86228,20567,34173,35415,8411,9971,51932,25642,4031,5363,5102,19308,14684,4679,12523,11695,36961,15733,11062,15006,16359,58029,31198,9905,7068,9529,7515,19951,19318,18639,38148,8681,20594,9053,5474,26367,4379,11466,11601,14289,5009,13480,7001,4862,4000,7138,1863,30694
108323,86834,19880,34159,38092,7689,9661,57825,28534,3727,5652,5071,18319,14582,4285,12854,11011,42308,17164,11399,15753,17290,57547,28137,10660,7495,9984,8804,21025,19790,18172,39169,9489,21894,9196,5218,25912,4578,11319,11691,14082,4510,13564,8044,5124,4501,7344,2058,28536
108525,92212,20448,36507,35786,6923,9651,53228,24756,3944,5048,4768,16449,14774,4608,12579,11598,40565,16075,10874,15727,16489,57481,28377,10529,7492,9139,8277,20771,18843,17283,35793,7948,20902,8743,4752,25228,4635,11611,11481,14094,4447,12381,7334,4574,3410,7038,1683,26006
108828,82765,20979,32981,36091,8230,10170,57208,28570,4071,5565,6500,19017,13207,5092,15288,10307,44084,18980,11587,15384,17073,62006,27327,10736,5660,10046,5400,20374,19184,18798,42923,9432,17822,9208,5537,26062,4796,12578,11577,14409,4836,14302,8276,4536,3487,6928,1948,32597
109123,87154,20193,29183,34571,6968,9073,49799,23981,3513,5504,5896,17952,14050,5080,15225,10605,39661,17542,10540,16228,17717,57833,27008,10678,6563,8991,6298,18470,18317,17415,36661,9049,18051,8620,5330,25343,4592,12473,11736,14029,4728,13084,7980,4604,3413,6596,1752,28919
