,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
100206,6791,1290,686,4922,4848,6978,16710,25961,6471,11826,4054,1865,1639,2807,2421,10536,18526,14127,16229,12167,2368,2505,8599,6999,13455,1803,1224,1926,10511,13969,1901,8285,538,5194,9418,3613,6730,2638,7261,5082,2932,9346,1106,532,3724,3209,5782,16871,24537,7599,10667,3580,2272,2080,3077,6066,9303,11691,12389,12143,11925,2666,2636,11136,6939,9679,1849,3907,1328,11663,9424,3736,11439,1033,8044,10633,4348,6457,2564,689,5362,2806,23454
100307,6903,1364,603,5091,5535,7431,19043,26404,5996,12670,4631,1893,1880,2806,2489,11143,19014,14931,16500,12558,2370,2625,9527,7174,13774,1724,1245,2067,11317,14968,1946,10292,773,5033,10123,4807,6789,2638,7337,4902,3105,7195,984,196,3769,3629,6211,16361,26609,7452,12060,4094,2308,2081,3462,6255,9348,12620,12898,12177,13191,2656,2765,10043,7200,9961,1828,4218,1236,13162,9833,3683,11818,1192,8608,10727,4503,6453,2564,689,5297,2885,26492
100408,7051,2104,740,5046,4786,5715,16870,23973,5932,10337,4732,1788,1628,2710,2391,9062,19016,12748,18230,11919,2234,2487,8232,6868,11622,1589,1159,1566,10717,14060,1880,9007,746,4597,9960,4333,6361,2638,5687,5151,3096,8276,1119,573,3562,2963,4728,16511,22540,6469,10207,3607,2194,2083,3513,4986,7757,11759,11341,11393,11824,2491,2800,8563,7090,8861,1455,2917,1089,11727,9349,3569,11099,1060,6574,10707,4540,6448,2562,687,5067,2932,23358
100610,8083,1869,662,5603,5009,6854,16926,25687,4998,9779,4728,1901,1908,2817,2254,10212,19933,14276,18679,12407,2420,2481,9259,7139,13611,1859,1247,1808,11015,13910,1816,9088,623,5413,10097,4745,6868,2638,7760,5245,3153,9228,1022,407,3842,2978,5488,16404,25535,6414,10326,4156,2230,2086,3353,6055,8046,12387,12759,13271,13414,2692,2659,10893,7252,9879,1897,3925,1292,12935,8912,3658,11736,1004,8299,10778,4623,6457,2564,689,5245,2985,24981
101006,5903,2170,759,5063,5198,6850,17300,23062,5345,11698,4388,1880,1787,2860,2191,10630,20431,14911,17299,12910,2409,2505,9558,6563,13376,1807,1287,1762,10441,13042,1839,9043,524,5204,10117,4646,6887,2638,7221,4882,2982,7626,1150,578,3517,3608,6174,17078,22885,6824,10784,4320,2265,2071,3442,5799,9402,13871,13645,11653,13738,2828,2995,9106,6858,9856,1835,4030,1101,11322,7851,3525,10206,909,7927,10750,4560,6457,2564,684,4255,2894,24577
101107,6712,2030,525,4962,5659,7614,17707,23392,6398,11878,4558,1895,1817,2732,2265,10951,19088,14885,17368,12561,2364,2413,10759,6959,13647,1592,1263,1951,10481,15351,1772,9450,654,5415,9789,4309,6889,2638,7213,5285,3131,7628,1091,577,3549,3962,5672,17589,24786,7480,11700,4300,2299,2077,3497,5968,8915,11644,14125,11947,13354,2835,2846,11422,7203,10130,1804,3345,1313,12447,9331,3602,11583,1004,8151,10602,4555,6453,2564,680,5055,2754,26719
101309,7261,2423,523,4710,5040,6219,19959,28019,7410,12675,5584,1863,1854,2890,2455,11210,22278,16315,20097,13898,2471,2669,9711,7216,13305,1848,1309,1412,11026,15159,1916,9755,712,5101,10125,4683,6839,2638,7160,5329,3180,9846,1283,560,3911,3446,5741,19286,27990,7831,12276,4463,2298,2091,3592,6258,10151,14358,15621,14178,14564,2862,2919,10322,7328,10348,1799,4188,1460,13505,9122,3753,11013,1195,8286,10742,4397,6444,2564,689,5044,2994,23793
101410,6687,869,624,5468,4991,7168,17405,27446,5659,12335,5148,1787,1818,2697,2487,9958,18856,14749,18153,13089,2448,2485,9496,7112,13529,1859,1247,2049,10946,15888,1947,10529,711,5084,9982,4336,6823,2638,7422,4956,3130,8886,814,496,3975,3489,6112,18347,25496,7170,12259,3858,2312,2065,3523,6167,8978,11873,14747,12996,13639,2729,2637,12080,7217,9772,1878,4230,1368,11918,9675,3612,12185,1162,6995,10618,4577,6426,2560,689,5439,3015,23490
101915,7137,2173,264,5100,5806,8128,17468,24087,6683,12198,4707,1901,1861,2819,2437,10315,19431,13600,17799,13237,2300,2609,9904,6996,12919,1860,1293,1828,9463,15409,1976,10227,757,5327,10078,4718,6835,2638,7225,5491,3166,9950,1297,207,3760,3927,6200,17513,25555,7661,12431,3464,2298,2097,3598,6048,8534,10879,12958,11948,13383,2694,2705,13051,7047,10155,1896,3913,1264,10913,9755,3605,11780,1194,7981,10761,4673,6457,2564,689,5513,2886,26967
102008,8075,1778,472,5046,5637,7335,17085,24726,6712,12616,4743,1778,1666,2897,2478,10405,19971,13793,17816,13288,2223,2613,10635,7094,13189,1847,1319,1870,10350,14085,1958,10011,733,5220,10047,4388,6836,2638,7859,5377,2917,10647,1319,522,3966,3460,5870,17097,24792,7861,11712,3835,2087,2068,3479,5820,8710,11600,12820,13589,13237,2585,2736,12526,7256,9519,1710,3547,1014,12032,9608,3699,11480,1117,7801,10722,4355,6457,2564,689,5270,2695,25592
