,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
115219,1582,11006,21553,27117,10613,83814,37568,21402,30172,33556,53054,25602,70312,74845,62994,32124,17902,18516,9979,12581,1810,6320,3981,2697,16837,30651,4529,5910,11428,75345,16997,26977,29580,7767,5898,5120,16849,26490,26757,32415,146956
115320,1148,11852,21667,27768,10752,82102,34718,19174,29172,30749,49916,24401,64886,75206,68085,34738,17741,18115,9536,11758,1836,5957,4183,2369,16998,29701,4594,5642,12578,75781,15137,27202,28627,7722,6108,5765,15031,21784,23331,31671,143694
115724,1816,12819,21795,28655,12331,81773,38532,19556,29722,33553,51382,28142,70083,72727,65200,38034,18828,18717,10265,11356,1836,6407,3963,2724,16096,31356,4627,4964,11101,72121,15819,25078,29348,8073,6079,5524,15581,25017,25119,30834,152932
115825,1627,12454,21274,27974,11166,81125,38118,20914,29689,32633,51800,23814,68326,74137,65629,37267,20341,18065,9676,11982,1836,6575,4103,2639,16832,30203,4707,5718,10233,77287,14754,25958,30087,7945,5867,5410,14280,21982,23722,31377,149746
116221,1505,10765,17811,23341,11466,74878,31967,19434,28780,28786,50476,25104,68091,73223,69832,39733,19136,17817,9480,12369,1807,6792,3907,2675,18313,29273,4250,5684,10880,76918,15364,25241,25150,7522,5973,4542,14492,22168,24218,30108,143172
116423,2093,11204,21726,26303,11440,77583,36587,20658,27886,27205,49441,24044,68016,75009,72204,40976,19435,18309,9498,12171,1676,6486,4559,2539,18152,28306,4613,5762,12572,75852,16573,26623,28909,7897,6220,3570,13537,22641,22800,30928,145399
116524,1430,11633,20143,25251,11612,80926,33371,22955,32902,33280,54742,23680,67099,71582,64080,36315,19012,18075,9678,11873,1828,6417,4257,2607,18157,30755,4792,5688,11269,76776,12135,27356,28830,7841,6328,3124,15259,22792,25515,31662,144894
116726,1049,11007,17340,19182,6532,74039,30906,18352,28505,31007,49609,20789,61375,72162,72422,36827,18642,17280,8834,11688,1828,6355,4410,2431,17611,28316,4569,5536,12827,75477,17050,24552,25080,7810,5944,4802,12316,21603,24151,29843,140075
117021,1884,11767,20366,27293,11850,83261,35437,21035,29900,32110,48006,25121,68346,73853,69413,38186,18242,18343,10013,11941,1836,6652,4447,2642,17014,30494,4723,5852,12281,75216,18502,27141,29096,7853,6079,5201,14958,24767,24721,30079,149827
117122,1678,11469,20846,25691,9816,79846,34790,20070,30898,32943,48796,26261,67026,73101,71316,39867,19337,18092,10016,12596,1806,6197,3302,2195,16441,30787,4508,6031,13101,74605,17871,26830,27534,8068,6366,5361,15129,24739,25287,30176,153490
117324,2102,11151,21297,25672,10529,78514,32432,20044,27846,32003,49380,24223,62901,71007,64414,35747,19212,17967,10028,10275,1835,6432,4478,2682,16088,30543,4721,5565,11378,72168,15448,26537,27112,7793,5858,5286,15060,24775,25304,31145,149020
118023,1799,12887,22210,28544,11866,86079,38098,23108,33248,35067,56669,26162,67052,74298,69075,37921,19523,18494,9785,12908,1831,6935,4442,2655,17307,31331,4615,6012,12064,76222,15515,27664,29471,7982,6088,5033,16179,25118,26153,31899,150340
118124,1792,12766,21883,29072,12679,87792,40951,24608,33275,34289,51542,24699,66243,76405,60758,38155,20403,18588,9726,12443,1830,6554,4413,2493,16938,30808,4308,5410,12578,78412,16185,27159,30349,8023,6403,4746,15746,21687,24458,30662,148036
118225,1587,10084,20637,25558,10901,80375,33988,23099,32233,31650,51639,21814,63205,73446,70498,40285,18670,18142,9653,11773,1819,6419,4525,2521,15413,30581,4618,5197,12369,74709,17916,25334,27256,7939,5943,4751,15492,23060,25084,29288,145384
118528,1928,11558,21083,27438,12414,82505,37867,21069,31781,34277,52802,24211,66801,75565,68569,34923,18683,17930,9297,12352,1801,6243,3471,2399,17904,30316,4549,5763,10828,75947,14059,26400,28393,7773,5973,4872,14776,23630,25227,30986,144137
118730,1933,11992,19495,26806,10706,79258,34817,21093,31339,31402,50705,24821,68835,72455,64178,40814,18292,17942,9087,11646,1824,6264,4228,2309,17168,30096,4737,5417,11442,74061,20029,25085,29415,7824,6025,5167,14058,22227,24626,32031,147314
118831,1600,11571,19677,26505,10844,81683,33428,20610,27720,30278,49894,23132,64550,75359,70916,40727,20129,18145,9810,11170,1827,6100,4308,2123,16086,30375,4741,5220,12156,78256,19396,26659,28440,8008,6095,5084,13896,20254,23070,30233,150621
118932,2202,13109,22173,29017,13439,85226,42643,22997,31364,32812,52282,26082,69786,75248,67647,37065,19722,18539,9969,12717,1836,6857,4388,2626,17875,30519,4586,5881,12467,74704,20460,27274,30433,7814,6252,5706,16062,24571,25868,31699,149491
119025,1513,12296,22080,29692,13877,88199,40798,23229,33445,31082,55724,26938,71259,76450,67004,41703,18562,18469,9987,12588,1762,6172,4240,2706,17846,30794,4698,5506,10607,77767,21918,27451,29251,7692,5926,4382,16385,25172,26184,32678,148987
119126,2042,12598,21069,28149,11634,83473,37504,20263,29739,30272,51410,27723,70377,76263,71650,38398,19476,18555,10192,12919,1795,5970,3583,2009,17037,30350,4644,6097,12197,76359,18927,27092,29503,8037,6336,5663,14675,22890,23789,31733,152012
119732,2036,12264,22309,27545,12307,82595,39395,22097,31591,31876,55377,26158,70387,74965,65836,38251,19676,18535,9802,12393,1822,6979,4029,2612,17580,30847,4735,5772,11203,77149,15985,26698,29342,8068,5893,4806,15492,23708,25116,32816,148297
119833,1914,11932,21702,26844,12396,83515,41112,21111,31340,32701,52658,23502,66291,72577,63627,37614,18992,18336,10018,12047,1836,6294,4414,2632,17242,30907,4759,5656,12556,75860,16173,26748,28530,7909,6070,4414,14724,23941,24955,30941,148746
120010,1677,10666,20147,24712,10733,77545,33869,19786,30267,30895,48769,24901,69438,73667,69553,34574,17520,17575,9414,11012,1740,6104,3937,2346,17409,29078,4468,5322,11575,74470,16241,25780,26249,7844,5703,5146,14409,23418,23400,30409,146986
120111,1376,11994,21609,27029,9585,82541,36204,21417,32561,33995,57810,24823,66919,71312,67524,38463,18443,18451,9458,12504,1826,6476,4533,2674,17182,30643,4649,5494,11948,74135,14085,27501,29038,7881,5814,4448,14218,22867,25304,31497,144967
120212,1988,12895,21842,27875,12185,81200,37672,21313,31928,32474,52621,24239,66519,74404,66157,36318,19885,17797,9966,11389,1836,6710,4228,2439,16921,30918,4680,5913,11655,73974,15685,27184,28650,7904,5818,5861,14550,22651,24655,30759,148397
120414,1822,11842,22414,27017,11941,78099,37554,21066,29930,33478,46051,23743,64473,74273,67725,38907,19324,18189,10232,12461,1832,7032,4379,2659,16059,30747,4830,6103,13394,74743,16887,26853,28321,8014,6086,4760,14106,23169,24775,30662,152708
120515,2433,12888,20372,28185,14523,82670,41095,21933,31396,35789,46144,23658,62405,73185,69095,38158,21030,18787,10386,11536,1806,6654,4311,2534,16776,31372,4832,5990,11095,76879,18159,25878,29961,8059,6405,5352,15961,25635,26306,31955,153387
120717,1630,11544,20056,27789,12384,80429,38979,21333,28682,31491,49799,22904,66719,75688,72624,37997,18902,17527,9698,11194,1758,6929,3926,2598,17221,30252,4409,5820,12281,76883,14343,26797,27849,7499,6025,4195,14266,21487,23100,31652,144952
121416,1902,11354,20403,26925,13003,78140,40037,20768,26760,28499,47455,24323,68563,73116,62316,36460,15467,16590,9066,9758,1744,5391,3343,2399,16489,28020,4042,5182,11219,72340,15465,24655,27829,7664,4984,4324,13826,20903,21629,28621,135718
121618,1545,10756,20698,25100,11172,79612,34906,20644,30187,32728,47922,22640,64656,70793,64607,38252,17359,17724,9170,11160,1816,5915,3702,2511,15584,30003,4463,4582,10283,73336,19633,25498,26192,7760,5826,5525,15067,23609,25092,31364,144751
121719,1490,10549,17621,22411,11940,73286,35507,17632,25080,27879,48411,22050,65046,74121,65195,30230,17343,17683,9436,11706,1822,6505,4331,2549,16710,28775,4758,5669,12638,76309,12799,24458,24056,7727,5693,4962,11329,18071,20198,28500,137617
121921,1644,11082,20597,25437,9939,79437,38175,20684,30714,32345,52972,24874,67832,75715,70074,35636,19936,18333,10029,11999,1835,6927,4452,2633,17434,30031,4673,5817,12959,78216,16114,26797,28182,7670,5978,5011,15774,21036,24234,30419,148973
122317,1897,11590,20242,25526,10900,77778,29359,22029,30228,31589,49152,25785,65652,73593,71195,39070,18797,18136,9512,11900,1833,6439,4016,2710,16514,29598,4424,5953,12421,73674,13825,26945,28314,7927,6142,4626,14141,21635,23846,28122,143899
122418,2249,12797,22710,29652,13694,85416,41740,22148,32113,34193,52887,25204,68019,73057,63866,38895,20625,18760,10330,12348,1829,6878,4526,2713,16161,31816,4825,5693,10801,74862,16804,26980,29969,8051,6098,5427,15603,22609,25122,31784,152641
122620,1588,11500,20084,27870,11655,82621,34266,21544,30596,32199,49988,14014,56370,78617,72906,39265,18991,18080,10210,10688,1776,5443,4462,2228,17191,30622,4769,5041,12398,78387,19174,26706,27108,7872,6188,4694,15017,20280,21916,30123,146409
122822,1786,13238,22444,28423,13042,87204,41299,23072,32834,35080,51134,26042,68735,74787,66932,42731,20439,18597,9826,11428,1788,6500,4003,2366,17489,31485,4778,5380,10417,77066,17311,26850,29582,7821,6285,5240,15623,23230,26049,31508,151436
123117,1788,12911,22401,29280,11659,87335,38619,21668,31015,33204,54097,27212,69725,75088,68574,32965,17964,18272,9856,12563,1835,6385,4029,2706,18168,31018,4540,6559,11583,78025,13632,27760,30738,8049,6234,4825,15790,22254,24114,30575,147659
