,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
100206,1753,11812,20953,23781,9987,77511,33499,21237,30214,31694,49632,26327,68142,70012,67341,38826,18715,17855,8963,11053,1821,6181,3966,2716,17403,29721,4410,5459,11961,72120,17202,25590,26656,7749,5813,5410,14961,22532,22189,30529,145918
100307,1800,11269,20685,26576,10590,82259,35113,20999,31300,34628,48822,25409,68046,75587,73079,40028,19923,18191,10096,11952,1808,6702,3842,2636,18277,31459,4587,5975,12976,75192,18569,24990,28541,7978,6258,5562,15149,24401,25320,29215,151287
100408,1230,10900,18606,25642,10134,75654,30168,18928,28394,31830,49687,22699,63322,71750,60707,37252,18826,17951,9139,9166,1836,5912,3861,2467,15387,30294,4693,4208,9365,73320,13916,25784,27012,7894,5695,3891,13122,20198,24187,28833,138115
100610,1673,11171,20148,25403,11261,76627,35293,19975,28747,31336,52105,25664,68067,73338,70406,37874,19375,18084,9735,12468,1733,6163,4493,2106,17031,30564,4719,6005,12680,76639,16675,26826,27410,7863,5833,4328,13890,21317,23551,30760,147052
101006,1914,12706,20103,26512,11558,77388,34798,18065,27926,31116,46865,23889,66066,74095,64334,35335,20297,18035,9234,12135,1793,6180,4389,2387,15995,29515,4603,5987,12122,75993,14408,25468,28233,7717,5873,5793,15399,23321,24371,30053,145789
101107,1929,11568,21478,26632,11883,80656,35824,20421,30232,32771,47714,26524,71141,75830,68765,38534,18618,17987,9518,12789,1821,6005,4124,2371,16873,29667,4589,5630,11757,75695,20059,26836,28362,7821,5872,4779,14492,23993,25691,30386,147974
101309,2375,13686,23558,31235,14067,89205,41244,23886,34074,34140,52435,26715,70485,76094,75531,38238,20170,18810,10302,12205,1834,6929,4347,2692,18097,31265,4853,5439,11832,77773,14537,27771,31400,7826,6518,4284,15818,22421,26555,31037,148847
101410,1630,12551,20974,27257,12782,84002,37987,22025,31947,32357,51656,26421,70234,75396,69483,39865,19369,18166,9384,11772,1836,6908,4409,2703,17256,30612,4816,5757,13129,74055,21758,26695,28844,7911,6458,4942,15509,23149,24785,29590,145681
101915,1674,11345,19657,25345,10880,81168,33614,20726,30963,32291,49743,25991,69488,75572,65223,39381,18350,18368,10060,12573,1811,6650,4319,2546,17301,30825,4671,6189,11984,75782,16037,26420,27942,8067,6149,4799,15354,25142,25251,32138,149899
102008,1371,11539,21194,27585,10745,80925,33350,20751,31104,30213,52822,25670,68476,76154,64733,37947,18280,18195,9378,11986,1809,6311,4082,2578,17864,29866,4403,5527,11426,75741,16919,27096,29928,7650,6103,4610,14901,23748,25159,31649,147526
102109,1764,11990,21881,27905,12107,84300,39843,21483,31019,31823,56523,25143,69006,73121,58298,29259,16837,18226,9661,12487,1814,6523,3896,2674,17976,30249,4533,5791,10544,75249,10790,27223,28802,7731,5673,5052,16414,24845,25650,31311,146934
102311,1672,11584,20125,26365,12866,78680,40653,21644,30881,32424,51328,25100,66485,74608,71549,40242,19643,18523,9971,12362,1810,6872,4234,2433,17276,30598,4664,5712,12797,76882,15581,27834,28300,7838,6102,4258,14287,22086,23581,30386,146728
102513,1747,10738,19006,24899,9952,74597,36233,20818,29820,31397,52660,25121,66870,71322,70216,30705,15971,18217,9752,12714,1825,6544,4172,2691,17855,30166,4240,5596,13508,76921,15494,26450,28034,7811,5705,4650,13717,21918,23689,31250,145770
102614,1908,10894,21229,26269,10731,78898,36921,19562,30109,31665,51534,22543,64564,71491,68616,38366,18869,17685,9484,10519,1811,6556,4201,2618,16687,29713,4526,4907,11196,77309,15069,27557,27697,7918,5812,3938,13352,21266,25023,29726,143984
102715,1607,11549,19454,26818,10691,77088,36002,20074,28678,29869,52145,22907,64055,72959,60813,34439,18013,18288,9828,11467,1813,6573,4549,2676,16396,29839,4678,5900,12372,75498,17765,27151,27211,7984,5864,4946,14878,23051,23220,31871,148482
102816,1712,12719,20925,26451,12421,78059,39959,20418,31578,32359,53863,24297,65421,71611,66370,37598,21063,18340,9925,12941,1787,6386,3868,2698,16541,30111,4641,5779,10574,77435,12039,26648,28757,7954,6142,4832,14313,22667,25152,30097,148879
103010,1472,10231,20369,25029,9907,76911,28842,20095,30526,30927,52233,23838,64691,73134,69993,37109,18222,17773,9244,11073,1832,6417,4397,2612,16550,30084,4371,5225,11933,77261,15203,26296,27342,7789,5602,4696,14831,23203,24995,30929,146667
103111,1529,11150,21028,24145,10230,81112,34949,20788,29011,28713,52715,27299,68550,73061,65162,35435,17603,18582,9360,11692,1824,6208,4110,2541,18244,29999,4383,6139,12043,75329,15418,26299,28289,7845,6339,4839,16358,25504,25408,31078,146376
103212,1390,11214,20263,23956,10138,73482,36224,17928,29037,32336,51819,24144,64794,72497,68634,34294,16819,18392,9287,12424,1791,6378,3843,2695,17080,29883,4232,5484,10837,75457,15867,27121,28635,7617,5988,4940,15252,25216,24240,30666,148574
103414,1796,12848,21983,25903,10570,85703,37591,21485,31018,33002,50179,26721,66945,74691,61700,39928,19267,17959,9923,12545,1828,6347,4243,2347,17311,30878,4635,6209,12718,73297,19682,27034,29159,8051,6034,5284,15477,22489,24396,30666,150312
103515,1811,11871,21571,27636,11998,84729,36603,22870,32196,35160,53171,23028,66394,75568,71808,34402,19483,17625,9787,12588,1748,6813,4014,2588,17992,31292,4437,6251,12899,79135,13388,27578,29349,7867,6041,4634,16327,23119,25584,31213,147040
103818,1851,11759,22026,27707,11759,82162,35934,20394,31667,33677,50956,25594,68609,74351,65532,36364,19501,18258,9582,12599,1835,6648,4079,2533,17474,31014,4630,5707,13176,76090,15371,26886,28693,7956,6316,4729,14992,24602,25904,30834,149327
104012,1997,12534,21960,27566,13057,83714,40248,21752,29873,32346,47915,23632,66864,74583,62660,38291,19303,18155,10060,11155,1836,6861,4432,2681,15154,30857,4815,5175,12081,75570,20064,25725,28121,7864,6054,5382,15601,24908,24294,31324,150193
104416,1568,12246,20212,25853,10544,81000,36461,20323,30088,31714,53061,22763,65358,75805,63873,39233,20060,18594,10033,12118,1836,6583,4343,2600,16325,30993,4614,5631,11703,75260,18589,27425,29336,8004,6444,5060,13909,18886,21770,30288,148644
104820,1974,12818,20605,26925,11551,81301,37150,21287,29479,31491,46904,24311,64911,73797,66430,35277,19732,17969,9510,11738,1822,6253,4423,2548,16570,30828,4648,6113,12467,75312,14731,25623,29213,7831,5849,5913,15333,22947,24165,30085,146337
105014,1738,11970,22417,28381,11886,85274,35005,22312,31902,32339,57981,25500,69671,78249,61156,37691,20307,18561,10011,12059,1833,6778,3687,2591,17353,31103,4676,5902,10773,78201,13380,27387,29512,8052,6263,4840,14930,23762,25805,32348,148689
105115,1819,12001,21200,27259,12677,83404,40143,21991,29952,31663,50186,24062,69115,77909,74408,41392,19757,17978,9365,11016,1766,6599,3889,2530,17760,30151,4176,5662,11727,76235,15034,28230,30167,8036,6190,3845,15007,20843,22299,30225,144410
105216,1519,10792,18397,25840,11745,77763,34300,20371,30540,32020,50905,24461,67293,70064,60523,33518,16909,17906,9294,11834,1801,6163,4535,2109,16537,29419,4483,5558,12355,73680,14488,24696,25553,7803,5948,4709,13275,23035,24653,31498,141580
105620,1240,9652,18950,25461,12530,80488,33584,20425,28858,32404,51473,25497,66191,71146,62935,37979,18824,16605,9629,11255,1706,6352,4439,2573,17441,29811,4806,6201,12046,73688,15810,25193,26407,7878,6115,5057,13647,22654,23650,30898,146944
105923,1624,10567,19603,25022,10130,77811,31833,20774,31898,33226,52055,24754,66161,69819,72098,35425,17901,17870,9411,12542,1731,6087,3854,2251,17493,30015,4432,5873,12664,74899,13026,27142,27040,7759,5932,4178,14487,23776,25280,31715,144990
106016,1457,12333,21810,27105,9980,82365,31974,21396,32264,31954,52496,26527,68386,73686,51338,36400,19731,18191,9873,10924,1835,6635,4304,2412,16321,30837,4743,5462,12191,71635,17321,26480,29499,7889,5981,5503,15859,26136,27473,31307,149718
106319,1853,11455,18738,24976,10958,76278,33575,20148,28165,31028,49832,24003,66668,72571,61016,36751,18078,18070,10136,11382,1820,6294,4072,2618,16804,29552,4550,5215,11669,75656,16078,25441,26035,7805,5845,4856,13713,22554,23994,31300,146854
106521,2145,12187,21569,26774,10548,82325,38777,20330,30065,33247,53193,24421,65722,73641,65473,37589,19513,18297,9692,11994,1769,6883,4463,2435,16624,31012,4824,5440,11503,77555,16338,27727,28291,7996,6088,4550,13981,20446,24034,31661,150234
106824,1883,12549,20385,27509,11316,84412,39317,22310,32404,34440,56716,24975,67400,74945,63031,37688,19213,18577,10271,12796,1828,7020,4373,2667,17811,31409,4732,6252,12318,76087,16825,27570,29223,8041,6451,5684,16030,23240,24708,33024,152961
107018,1524,12357,21630,26615,11662,82776,37561,22200,32662,33559,56977,25038,66868,73407,62728,38345,20372,18221,9852,12409,1815,6972,4167,2638,16269,31153,4486,5623,12143,74640,14898,27053,28975,7851,6081,5336,16700,24977,25621,31563,150390
107321,1975,12581,21845,27062,12523,83480,40003,21953,31470,33811,51631,22880,63359,72151,65522,42076,18445,18324,9389,12151,1809,5911,4085,2442,16146,30131,4611,5315,11295,74432,14448,26485,30182,7878,6068,5088,14749,21910,25998,30301,147053
107422,1844,13157,21791,26708,11290,78974,41225,21765,31841,33940,50368,22607,62808,71143,68425,40560,20059,18370,9726,12316,1826,6356,4027,2700,16547,30787,4578,5175,12104,74470,20971,27012,30434,7975,6147,5573,14443,21109,24994,29369,149144
107725,1998,13232,22818,29458,12553,85974,39668,23249,33352,33527,51221,23335,66210,77000,70508,36916,19325,18083,9295,12557,1830,6891,4380,2594,17242,30355,4524,6234,12256,77925,15559,27791,29863,7785,5862,5059,15277,22977,26532,31305,148838
108020,2240,12346,21767,28767,12438,86864,39509,21949,31903,34189,45508,23827,64754,72605,67802,37418,18687,18311,10336,11965,1823,6804,4323,2623,17445,30881,4707,5679,12164,76279,17728,25756,28772,7938,6308,5252,15077,25610,26863,31000,150748
108121,1961,12969,22297,28648,12917,84861,39383,21641,32218,34301,49634,23864,65287,77586,71835,36860,20099,18771,10191,12549,1836,7350,4639,2709,15970,31431,4853,6240,13675,76837,16593,27417,30491,8051,6477,5074,15344,23348,25319,30457,152547
108222,1634,10535,18726,24466,10632,80826,33954,21177,30051,32337,50560,25224,68617,75700,69348,38103,18666,18145,9914,11429,1816,6734,4208,2675,17333,29859,4348,5301,12234,77875,16911,26129,27832,7365,5698,4632,14558,22430,23788,31376,147736
108323,1726,12265,21350,28175,11298,84094,33106,21372,31237,33003,53130,25553,68134,75215,69268,37231,19274,18442,10076,13307,1808,6281,4393,2518,18266,30915,4767,6051,12338,76088,17431,26915,28241,7978,5908,5084,14980,22871,24755,29318,149118
108525,1743,11001,21192,26419,9885,81595,33223,22193,31027,32443,54138,24654,66537,71841,68070,35527,18131,17705,10000,12106,1802,6243,4375,2592,17779,30385,4623,5993,11418,77262,14361,26360,28200,7810,6175,5175,14089,20487,23619,30679,145015
108828,2184,12666,21559,28545,13411,83417,40086,21021,29849,31383,43445,26898,68492,75069,75756,39931,19214,18404,9629,10690,1807,5862,4247,2708,15583,30334,4566,5659,11690,72825,16959,26843,29578,7967,5973,5578,15412,24636,24511,30511,150687
109123,1703,11850,20307,25451,10914,75395,33727,18762,29238,31295,48139,25711,66847,72962,73157,37853,18229,17939,9147,11685,1826,6862,3762,2622,17486,29149,4198,5404,11437,73657,13866,27229,27993,7926,6145,5383,13148,21639,24121,29410,146973
109830,2088,12141,21892,26879,10999,79231,39882,20929,29419,33703,43826,23503,63593,72130,70318,42054,20495,18282,9965,12010,1821,6545,4072,2413,16722,31078,4787,5961,12021,75626,18030,25380,29353,7932,6391,5300,14599,22579,24783,30204,153113
110007,2100,13461,23202,29584,14087,88552,44023,23568,33473,34123,51778,23273,67093,76494,66550,39091,20825,18742,10265,12053,1836,7383,4235,2714,17085,31554,4733,6138,12084,76328,16015,27616,30714,7976,6340,5332,16321,24773,25794,30393,154227
110411,1238,10025,20502,25863,11556,80161,34223,21036,30308,31665,52263,25474,68289,73195,65811,37243,19315,18077,9173,11567,1831,5835,4577,2580,17682,30165,4517,5965,12661,75665,18415,26429,25525,7888,5824,5036,14788,23557,25126,30053,144410
110613,1286,11682,18056,24464,10828,77900,34190,19748,28876,32327,50713,24543,66364,72475,72136,37886,18559,18223,9722,12515,1816,6679,4199,2481,17288,30183,4618,5902,12567,74597,16292,26163,27003,7883,6072,4777,13838,22453,23081,30146,148916
111009,2148,13050,21552,28920,13588,84891,37775,20930,31803,33112,48453,25254,66771,72727,72074,38094,18958,17468,10262,11592,1746,6856,4141,2604,17833,31351,4365,5742,11824,74097,17495,26998,29147,8059,6385,5742,15913,25648,25795,30984,153710
111211,1489,11136,20775,26023,12117,84906,37402,21454,31619,34041,54119,22100,67032,76366,70595,40240,18979,18466,10275,12442,1831,6229,3998,2493,17413,31167,4487,6062,10634,78728,17870,27003,27134,7975,5714,5079,14488,22224,24290,32644,150141
111312,1035,10423,20037,23085,9230,79944,33169,21005,29983,32766,51839,25546,67340,74986,72939,36490,19494,18178,9913,11319,1836,6094,4433,2616,17807,30604,4755,5888,12630,77251,16558,25831,26610,7890,5624,5060,14039,19968,22560,31241,144779
111413,1929,10882,19777,24715,12335,78072,35466,20781,32143,34167,54672,22768,63872,71522,63895,34505,19803,17902,9704,11943,1835,6723,4230,2638,15981,30923,4645,5783,12066,72280,14520,27057,29173,8027,6162,5651,16250,26061,26518,29124,147624
111514,1613,11290,18978,24640,8982,72001,31153,20168,28178,31189,49258,23211,65159,70925,71257,38811,19226,17584,9352,11032,1802,6235,3996,2405,16354,29524,4656,5520,11270,72698,17010,26670,27053,8059,6185,4334,13129,21495,23411,30354,142597
111716,1871,10892,18842,23543,10151,73081,30980,19319,28601,31818,50469,24569,65890,69747,66586,34084,18495,17309,9246,12561,1704,6043,4025,2314,16758,28958,4458,5455,12153,73911,13161,25600,24726,7503,5657,4803,14258,22993,22915,30024,142760
112112,1721,12240,21382,28096,11941,86874,39178,21017,30889,32466,46812,22349,63738,71260,64460,38282,18298,18116,10258,10484,1802,6381,3694,2656,16817,30937,4525,4852,9031,75336,14571,25149,26623,7941,5956,5270,17093,24788,25192,30402,150144
112314,1911,12413,22166,28227,14035,85173,40936,21361,31048,33213,54601,26037,68855,76108,60400,40290,20211,18354,9908,11288,1816,6454,4196,2722,15815,30782,4653,4608,10751,76514,18988,26425,28727,7944,6336,4986,15561,24513,26164,31920,147929
112516,2080,11637,21646,26968,12852,81544,35900,20466,29796,30453,49204,24336,65719,74416,60943,39072,20521,18351,9259,12112,1790,6473,3980,2496,17017,30391,4570,5632,11713,75431,16981,27201,28458,7732,5957,4754,14551,23435,25188,30133,145766
112819,1479,11739,21084,27145,11922,82650,37172,21379,30343,31727,55714,23740,66942,75402,55764,41458,20355,18405,9983,11069,1822,6899,3789,2697,17314,30608,4395,5424,10350,73687,14742,26807,27743,8004,6226,5766,14949,22371,24245,31478,150835
112920,1653,12485,22080,27863,13196,82977,41763,19303,30459,30042,52288,25215,69644,74419,68001,37469,18141,18461,9081,10803,1836,6663,4485,2680,17130,30080,4729,5115,11381,73410,17631,27547,29534,7866,6057,4282,14829,23247,25522,31206,146509
113215,2081,11530,21344,25928,11381,79252,37519,21702,31191,32214,52936,26057,68139,76036,63776,37344,19023,18430,9784,12871,1777,6534,4531,2255,17490,30357,4754,5626,12215,75710,18218,26794,29280,7821,6020,5036,15659,23359,23973,32045,148365
113316,856,10502,19783,24482,11333,77765,31904,20924,29844,31192,54508,23179,65827,71421,66245,35308,18319,17898,9851,11793,1836,6187,4016,2701,16290,29830,4323,5542,11102,76352,12596,25514,28091,7649,5576,4591,13999,23176,24265,30872,144416
113619,1543,11355,19433,24254,10919,77016,35051,19597,30131,33222,48253,23703,62582,74436,72826,37174,18429,18005,9089,11726,1831,6409,4314,2394,16108,30092,4421,5845,12522,76254,16078,26722,29080,7910,6160,4898,13964,19809,23417,28982,144434
113821,2041,11783,18470,23087,10224,72852,34971,16753,25751,26188,49535,26584,68663,71380,69241,39316,18572,17696,8597,12507,1679,6129,3358,2275,16340,27612,4307,5319,10736,71585,18727,23410,24647,7918,5795,5426,13021,22346,22125,30458,146332
113922,1640,12051,19559,25168,11194,80532,35401,21795,32144,32215,55667,25479,68489,73022,63641,38216,19210,18060,9787,11372,1796,6405,4392,2640,16561,30324,4251,5408,10945,74351,17596,25011,29037,7930,6029,5612,17404,26899,27223,32078,150632
114116,1602,12314,21324,28365,12666,84143,38692,21926,31837,33092,52111,25459,68444,74215,64086,37725,19914,18664,10315,12769,1829,7257,4492,2725,17056,31290,4623,6280,12497,75305,17366,26899,29796,7880,6212,4819,15759,24226,24552,32128,150864
114217,1869,12469,19721,25692,13141,77231,36308,19796,29561,32381,49454,22601,65117,74895,66576,37931,18811,18279,10173,11218,1834,6580,4305,2501,16895,31022,4734,5946,11199,76909,13920,25476,26659,7765,5854,4594,13740,22985,24138,31430,149670
114318,2077,12978,22305,29456,13127,86383,40307,22929,33355,34047,50598,26898,68584,75428,73282,39212,18426,18726,10324,12609,1818,6611,3307,2715,18002,31634,3910,5671,10784,74883,14437,26952,30739,8036,6445,5010,15644,24461,25785,31260,152105
114419,2365,12964,23271,30588,12809,86776,39596,22273,32371,32292,53866,26095,67319,74660,69204,36790,18587,18701,9910,12757,1835,6779,4140,2697,16630,30973,4694,5944,11669,76993,14060,27382,29830,7835,6019,4740,15214,23741,25468,31927,147402
114621,1612,11487,19631,25174,10934,77269,35890,21061,29506,34160,48285,24343,65556,72680,66315,37386,18669,18149,10094,11907,1823,6118,3824,2243,15237,31231,4559,4699,11492,75070,17499,26361,26378,8005,6326,4506,13754,21934,24612,29723,149722
114823,1590,11552,20471,24762,9880,80853,34053,21805,32447,31838,51274,25537,67355,71186,74302,37038,17942,17907,9676,12349,1782,6361,3934,2359,18041,30069,4402,5917,13208,75672,15342,27532,29194,7844,5914,3815,15043,23961,25715,31073,147457
115017,1731,12589,21920,27897,10868,82334,39267,21180,31072,32016,53182,26117,68596,75266,64510,39098,19397,18390,9994,11176,1828,6706,4391,2607,16562,30554,4713,5837,11839,77510,17999,26472,30590,7825,6131,5329,15770,22539,25085,30833,149570
