,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
100206,22390,19061,22082,25348,5495,5991,32564,32782,3827,3822,6732,8819,15777,11380,8917,9043,6173,8630,12692,14486,1887,2055,19856,13783,5094,5949,5524,4841,13738,11799,9662,9508,13746,15390,3616,2582,6550,6831,6912,8126,1623,1874,15998,13599,10340,10320,15261,16841,8332,8922,20403,14736,5085,5985,16936,17604,23854,21639,11686,9561,16284,7864,7977,13236,7865,11179,21437,19514,5873,3497,6743,7343,7937,8510,2285,2188,7966,8192,1453,1537,15427,20462,7513,5910,31203,29269,4783,5528,18820,20588,14934,14313,9417,8415,873,1387,7909,6381,13183,13235,2956,2304,11700,12750,6380,5988,631,533,262,1097,4384,2731,1307,1891,1324,637
100307,23266,20090,24084,25728,6364,4767,32986,33188,4327,2416,7236,8992,17411,12382,7995,7437,7240,8982,13318,16158,1948,2156,21290,15960,5312,5980,5526,4560,14246,13374,11010,10265,14695,16581,3635,2643,6418,7026,6935,8410,1709,1867,15551,13678,10878,9568,15421,16478,8886,9203,21642,14036,5895,6055,18087,18755,24096,22332,11202,9218,17155,8642,8276,13195,7582,11696,21902,21573,8050,5325,7625,7654,7942,8506,2285,2188,8688,8326,1707,1830,16868,21591,9041,7126,32206,30671,4948,5851,20870,23412,18409,17993,11476,11482,962,1479,8258,6410,13294,13531,3347,2733,11419,12869,6641,6017,800,901,296,1394,4808,2854,1477,1683,1356,618
100408,21488,19481,22358,24673,5566,5662,31069,31551,5377,5353,5642,7390,14220,10458,7784,7027,5431,7423,11593,13386,1289,1036,17700,12640,5223,5788,5425,4010,11728,9963,9840,9954,13598,15724,3582,2586,6673,7097,5997,6832,1729,1884,13638,13473,9423,9205,14530,15697,7641,7721,20147,13103,5911,5934,15198,16261,20549,20097,10188,7082,17122,7577,8395,12078,8417,11137,21230,20108,7829,5093,7197,7595,7814,8492,2276,2170,8621,8370,1641,1739,15925,19646,6712,6045,31970,29478,3903,4425,18577,19723,15993,15721,10420,10163,793,1198,7482,6029,12876,13362,3398,2763,12613,16198,6090,5583,252,440,169,1108,4083,2629,1306,1839,1300,204
100610,19885,18732,22196,25846,5823,5896,30343,30601,5144,4081,6387,8176,15261,10791,9445,8631,6483,8383,13190,15721,2099,2185,19833,14471,5426,5872,6121,5012,14229,12514,10652,9774,14271,16270,3235,2105,6791,6978,7579,8665,1700,1881,15748,13650,10764,10123,15812,16550,8129,8375,20537,13813,5952,6870,17828,18990,22268,20764,11007,10075,16283,8279,9153,12472,8367,12028,22814,21545,8197,5382,7626,7699,7942,8510,2285,2188,8651,8347,1543,1649,15756,20893,7957,6748,32777,29902,3853,5537,21021,22876,17145,16983,8691,9145,689,1003,7414,5934,12795,13359,2797,2385,11287,13385,5678,5702,322,523,130,990,3578,2456,1129,1648,1328,567
101006,21845,19853,21265,23554,4600,4772,31333,31650,4524,4076,6641,9045,15793,12466,9151,8216,6992,8689,11806,14949,2093,2019,16971,12969,5314,6027,5519,4479,12834,11954,10199,9203,14506,15842,3434,2462,6636,5998,7176,8491,1656,1852,14914,13611,11076,10362,14619,15712,9008,8848,20924,12992,6324,5703,17330,18329,24356,22340,11722,9543,16531,8903,8849,14279,7350,11258,22330,20954,7545,5048,7596,7597,7942,8510,2285,2188,8693,8382,1459,1540,15800,20560,7376,5066,31463,29100,4237,4313,19456,20580,16502,16894,9983,10787,856,1125,7147,5343,12962,13118,3403,2918,12868,15919,5663,4778,438,256,267,987,3981,2574,1205,1642,1111,253
101107,22115,20773,23552,25863,4856,4975,32709,34920,5133,2903,7040,8056,17344,12853,11160,9504,6964,8068,13257,15709,2238,2229,16878,14016,5290,6225,5296,4152,14061,12059,10526,9807,13947,16065,3571,2459,6925,6974,7001,8147,1689,1831,15633,13962,10119,10255,15723,16829,8216,10011,22516,14871,7081,6935,17506,18364,23477,23243,11261,10880,15924,8666,8506,12972,8196,11908,22779,21463,7837,5450,7424,7542,7942,8502,2285,2188,8662,8359,1532,1515,16178,19604,8963,6681,33597,29818,5216,5250,19498,22190,16682,16698,9402,9451,889,1161,7860,6000,13230,13410,2763,2252,10572,12496,6443,6050,304,525,278,1254,4177,2765,1530,1927,1353,459
101309,24042,22622,26816,29515,5985,6072,36088,36375,6139,6507,6628,8665,15409,11918,8898,8656,6917,8392,15960,18037,2123,2045,20215,15329,5057,6394,4917,4502,13857,13126,10920,10101,15373,17087,3707,2639,7032,6930,7609,8502,1729,1955,16907,14406,10993,10825,16113,17641,8546,9465,22412,13867,6545,6473,17321,19720,26631,25301,12607,12602,18821,10398,8959,14448,9035,13094,26101,24165,9823,6144,7617,7551,7936,8494,2285,2188,8700,8398,1676,1810,17016,21005,6859,5710,34644,30945,4311,5526,21457,25145,16264,16994,9730,9575,974,1296,8327,6283,13345,13473,3087,2298,12000,13922,5990,5328,593,694,301,1372,4198,2643,1292,1905,1339,438
101410,22961,21122,24519,27403,5306,5886,32572,34007,3838,3941,7223,8894,16141,11815,8990,9128,6560,8223,14798,15523,2127,2104,19996,14326,5408,6129,5869,4845,12686,11428,10299,9971,14080,16110,3707,2633,6289,6922,7562,8675,1708,1959,16066,13957,11068,10737,15702,17113,8788,9814,21024,15425,6248,6873,17536,18589,22546,23029,11826,10733,16904,9075,8983,13029,8119,12201,23550,23196,8615,5362,7260,7600,7902,8474,2284,2170,8620,8347,1732,1843,16906,21072,9044,8333,34878,29688,5498,7040,19295,20947,16187,16016,9349,8401,767,1185,7395,6120,12434,12920,2767,1973,11238,13420,6475,6220,477,455,313,1087,4075,2490,1194,1916,1323,476
101915,23000,20724,23120,25410,5276,5934,33040,34287,4549,4663,7396,8911,17829,13193,10603,9591,6923,8562,12717,15378,2106,2150,18809,14579,4727,5714,5393,4682,14176,12667,10691,10358,14379,16808,3651,2575,7140,7314,7278,8468,1713,1893,15600,13782,10774,10227,15472,16688,8648,9785,22021,15055,6935,7076,17011,18824,22456,20548,10569,8813,17001,8583,8292,12201,8048,11655,22053,21762,7346,4457,7481,7837,7932,8510,2285,2188,8607,8338,1684,1891,16790,20688,7804,6017,33964,29900,4471,5127,17914,19928,16962,16936,8760,9283,780,1136,7710,6194,13163,13441,3268,2422,13291,14870,6618,5894,524,534,224,1299,4556,2716,1352,1849,1315,679
102008,23568,21036,23596,25769,6115,6473,33657,34129,4626,4797,6262,8239,16765,12154,9934,10309,6672,8379,12549,15177,2122,2215,17245,13332,5038,5882,5425,5109,13552,12052,10036,9788,14534,15878,3671,2504,6864,7107,7072,8358,1670,1845,15514,13577,10593,9734,15553,16998,8854,9209,23472,15238,6887,7055,17020,17799,23823,21207,10542,8613,17733,9640,8426,12703,8381,12650,22564,20884,8130,4901,7204,7399,7942,8503,2285,2188,8622,8298,1712,1572,16436,20406,7757,6551,32267,29940,4274,4669,19616,20909,15719,15683,6658,8702,936,1240,7785,6222,12550,12901,2891,2181,12098,13706,6693,6189,762,941,308,1163,4056,2270,605,1755,1343,531
