,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
103515,71799,11092,5551,28952,7127,6982,9079,53345,30937,31276,9706,26185,21646,32442,10437,24739,19578,11769,16839,6632,11722,10466,24543,9951,41693,31421,8353,29029,63934,29280,28726,29063,2061,4772,3789,62783,11889,6581,21301,8816,9484,9263,60568,34324,21529,9593,23669,21334,32808,13905,17751,24523,14913,10549,6850,9946,10154,17100,9580,36248,35597,6224,30648,59415,29420,19293,21580,2773,4382,2692
103818,75200,11185,5733,27901,10771,7932,8420,52554,29521,28285,10272,28459,22739,33395,10017,25284,19254,10980,16566,7164,12154,10476,25611,10675,40982,30939,8399,29377,57187,30229,29684,28556,1354,6385,4306,65277,12373,6571,21791,11636,9077,8695,59691,34731,18713,10501,22004,20377,33196,12867,17321,22958,15166,9960,5039,10179,10055,16966,9993,35537,35442,6321,31897,53543,30047,20314,21367,2098,4967,2887
104012,73355,10929,5979,26882,10799,8292,5686,49422,27740,28567,10146,25720,20830,34388,8314,26355,18119,12459,17052,7075,11485,9967,25126,10904,39983,30434,8588,27634,61066,32789,30458,28855,1685,5987,4335,64475,11912,6478,20704,12841,9955,7842,58446,32090,19065,10002,20942,20407,33146,12320,18674,22651,15580,11630,6100,10604,9865,16688,9596,36249,35631,6267,27345,54560,32237,22816,20438,2324,5728,2838
104416,73802,11090,5791,26698,10029,7934,7109,51559,31490,27055,9797,27624,23278,33079,9839,27055,18685,11782,16083,6728,10458,10731,22032,10762,39578,30396,8457,27083,57605,29698,30555,29170,1419,6092,4542,63405,12189,6490,21071,10469,9315,7955,58132,34917,18408,10034,20404,22381,32810,12944,19636,23085,15270,9824,4169,7869,10196,17056,9651,35821,33936,6245,26535,53236,29525,22857,21096,1458,5266,2972
104820,73130,11113,5399,26550,9796,7942,8837,51287,30482,29165,9636,25702,20530,33735,8924,24316,18638,12443,16744,6383,11169,10944,23825,10665,40074,30769,7989,28044,57448,30678,27731,29619,1521,6143,3646,62798,11700,6485,19870,10939,9944,9272,58800,31785,20732,10053,18552,19172,33306,12530,17139,23065,15465,10661,5133,9783,10125,17311,9816,36626,35174,6169,28780,54429,30173,20440,22967,1939,5052,2306
105014,73417,11133,5574,28414,10118,7768,7860,50393,31490,27232,9868,27760,23100,33269,10049,26215,19002,12197,16628,7307,11717,10857,25056,10620,41157,31211,8447,28557,60441,29748,29875,28504,1297,4283,4245,62947,12449,6581,21838,10482,9735,8585,58441,34783,19227,10183,25125,23488,33322,13606,18726,24059,15964,10337,7312,10847,10481,16689,9648,36197,36333,6261,29028,56618,28517,20996,21316,2170,3155,3138
105115,68693,10506,4517,27200,5241,8138,8046,52770,31882,31332,10352,26577,21478,34626,9079,27171,18677,12869,15884,6578,10188,10868,23038,9809,38859,32085,7775,27190,61796,30663,28244,28073,1715,5283,3992,58998,12171,6116,21640,3816,9994,8306,61432,36267,23152,8552,23576,20570,33285,12725,20792,23543,15743,10195,4434,8525,9332,16394,8072,35227,34134,5767,26986,54272,33141,20544,20153,2469,4484,2709
105216,70306,10686,5465,26206,9152,7624,7486,51137,27759,28004,9457,26358,22178,34384,9848,24632,18782,11868,16019,6803,11298,10140,21706,10220,37102,28891,8055,27578,58468,29144,27497,26435,1545,5769,3986,61211,11363,6180,19898,11579,8103,9010,57604,30506,17380,9517,19876,21102,33217,12753,14618,23040,15362,9835,6016,9394,9630,15097,9591,33397,34296,6072,29581,54322,26762,19207,19412,1844,4919,2771
105620,71212,10350,5289,25955,8918,7618,8259,49867,28925,27596,10004,26232,21887,33860,9367,24875,18926,11360,16295,6489,11476,10407,20844,10442,38469,29284,8319,28062,57451,27400,28510,25663,1643,6042,4277,63079,12203,6318,20239,11592,7988,8850,55361,33567,18908,9943,21481,21370,32996,13081,18682,22933,14674,10232,5511,9519,9956,17856,9315,35027,35252,6103,28572,53646,26898,20954,20019,1973,4240,3008
105923,71736,10787,5680,27512,10693,7896,8225,51425,30724,29286,9807,25369,24019,33438,10666,24927,18990,11056,16527,7259,11615,10202,22444,10556,37929,27892,8330,28901,59068,27094,27481,27524,1657,5464,4228,63621,11895,6323,21767,12155,8173,8135,59383,33652,20588,9883,20909,20634,32101,13400,17593,23371,14174,10410,5459,10045,9505,14629,9308,33482,34382,6182,29716,55834,27338,17693,20910,1702,3616,2643
106016,73583,11149,5922,29009,11507,7371,7206,50053,30331,22286,9610,29468,21807,34009,8288,22989,19062,11236,17279,6850,11659,10118,24371,10685,40808,28359,8496,29061,56348,29127,30003,28426,426,6185,4149,64094,12129,6500,20980,12920,8547,8381,54385,32968,13515,10307,22674,22089,33018,11937,18097,22907,15210,10997,7494,10980,9854,17048,9759,36181,34407,6409,31982,53768,27811,21759,22042,1247,5162,2813
106319,70826,10986,5949,26356,10504,7661,6836,51997,28409,26838,9565,27626,21482,33788,8756,24196,18416,9925,16129,6293,11481,10180,22401,11063,37834,29154,8369,26683,55466,27681,28423,27557,1470,5208,4151,62316,12124,6232,19440,11850,8839,8461,59717,32002,18751,9825,19870,20688,32655,12061,17998,23311,15248,10359,6019,9377,9719,15590,9605,31997,34064,6495,28519,50904,26941,21317,19420,1592,4864,2784
106521,73492,11034,5705,27721,11161,7847,7325,50877,31159,28340,9940,24015,22727,34383,9388,26764,19009,12581,16314,7119,10963,10730,23367,10874,40113,30789,8557,27096,58423,31162,30294,28359,1830,6173,4195,64575,12365,6580,20879,12954,8996,7648,60764,36442,20486,10483,21391,21943,33734,12594,18582,23263,15818,9896,6718,8624,10347,16354,9849,36244,35683,6451,29571,56579,30935,21120,21736,2781,5661,3110
106824,75531,10927,6160,29027,10839,8323,8470,51889,31537,27603,10353,26264,24076,34248,10774,25795,20157,12009,17070,7668,11987,10614,23671,10641,41289,31459,8885,28508,62736,31460,30254,28670,1414,5645,4451,64116,12474,6607,22127,9216,9761,8906,60097,35261,20652,9459,21759,23272,33288,13714,17147,24488,15458,10856,5963,9900,9891,17077,9425,36670,35826,6415,30125,57843,31615,21283,21116,1845,4983,3231
107018,73240,11275,5866,28056,10665,8223,7252,50613,29876,28337,10193,24444,23725,32545,10276,25491,18856,12799,17083,7141,11641,10628,24598,11204,40707,30182,8641,29178,61284,31108,29749,29199,1307,4542,4207,63189,12162,6525,21326,12223,8873,8085,56870,33826,18660,10202,23800,22831,32080,13990,17880,23283,15383,11383,6142,10722,9911,16872,9980,35880,35716,6350,30653,55258,30157,21613,20853,1316,4642,2940
107321,74124,11048,5655,28382,11316,8036,7292,49586,31154,28827,9737,22162,21901,31542,9606,26250,18835,12333,16645,6028,11256,10086,24059,10761,40705,31481,8321,29017,60995,32467,28901,29117,1672,5066,4016,64701,12058,6373,20882,12912,9676,8014,57593,33014,20351,10143,19497,20576,32992,12884,20731,22727,14943,9614,5382,8721,10251,16656,9654,36226,36193,6348,30263,55526,33006,20392,21286,2431,3370,2717
107422,73193,11278,5901,27935,10865,7709,7484,50122,30708,27564,9699,21729,22749,32592,9655,26645,18491,10163,16624,6310,11220,10077,24978,11073,39694,29243,8540,29017,58474,32442,30564,30236,1363,5987,4565,63594,12143,6414,20766,12517,9116,7956,59540,35118,18774,10085,18018,20052,32608,12686,20144,22782,14679,10158,4010,8558,10589,16832,9958,33559,35085,6312,30780,57990,33333,24098,23277,1707,5022,2873
107725,74678,11281,5538,29754,10355,7939,9100,52228,31354,30413,9336,25677,21749,32688,10363,27028,19597,13285,16716,6447,11708,10743,26265,10714,41466,31043,8208,29227,62586,32848,28974,29805,1011,6401,3737,64317,12067,6435,22714,10792,9517,9741,60659,35148,20804,9802,22152,21371,32507,13606,16842,24372,16118,10494,6790,9462,10421,18175,9717,36555,36168,6148,31571,59605,32088,19629,22034,1949,4302,2894
108020,72643,10934,6207,27579,10036,7959,7078,51037,29923,29564,10388,24302,18893,34085,8467,25546,18993,12773,16587,6675,11475,10258,25212,11051,41355,31580,8655,29071,64172,32296,29707,28882,1192,6016,4139,64161,12259,6587,21700,12191,8948,8180,58452,34595,18726,9569,20218,19389,33354,12696,19253,24072,16039,11308,6982,11260,9651,17646,9997,35946,35878,6359,31849,55026,30576,22246,21070,1946,5459,2904
108121,76172,11189,5945,28332,11320,8040,9236,51437,31259,30940,9996,25448,21738,33524,9901,26036,19014,12897,17016,6544,11869,10808,25772,11487,40963,32143,8776,28566,62490,32987,30799,29688,1806,7077,4448,65766,12398,6630,21302,13777,10130,10247,60307,35406,22350,10245,21541,20398,33058,13092,18421,24261,15005,10871,4413,9868,10505,17959,10114,37755,36502,6654,30254,57201,32777,21316,22589,2687,6249,3129
